0,1,2,3,4,5,6,7,8,9
28.12.20 09:21:59,210.05,210.05,210.05,210.05,75,0,210.05,187.95,216.80
28.12.20 10:17:59,208.45,208.45,208.45,208.45,75,75,209.25,196.30,208.45
28.12.20 10:24:59,195.95,195.95,195.95,195.95,75,150,204.81,189.90,210.20
28.12.20 10:40:59,195.95,195.95,195.95,195.95,75,75,202.60,183.95,205.70
28.12.20 11:35:59,199.05,199.05,199.05,199.05,75,150,201.89,184.90,209.05
28.12.20 12:30:59,210.00,210.00,210.00,210.00,75,150,203.24,200.60,215.75
28.12.20 13:24:59,210.00,210.00,205.00,205.00,525,225,206.49,197.80,213.50
28.12.20 14:17:59,202.00,202.00,202.00,202.00,75,750,206.17,204.70,211.60
28.12.20 14:42:59,213.00,213.00,213.00,213.00,75,825,206.63,211.45,217.75
28.12.20 14:51:59,213.00,213.10,213.00,213.00,525,750,208.66,211.10,220.00
29.12.20 09:16:59,248.10,248.10,248.10,248.10,75,750,248.10,228.80,245.10
29.12.20 09:19:59,247.55,247.55,246.95,247.55,450,675,247.54,241.90,249.20
29.12.20 09:21:59,245.00,245.00,245.00,245.00,75,975,247.22,241.50,247.40
29.12.20 09:29:59,246.80,246.80,246.80,246.80,75,1050,247.17,245.50,251.25
29.12.20 09:31:59,245.00,245.00,245.00,245.00,75,1050,246.96,245.00,249.25
29.12.20 09:32:59,247.80,247.80,245.00,245.00,225,1050,246.72,239.05,246.60
29.12.20 09:33:59,246.95,246.95,246.95,246.95,75,1200,246.73,235.15,247.55
29.12.20 09:37:59,245.00,245.00,245.00,245.00,75,1275,246.62,240.15,246.05
29.12.20 09:50:59,245.00,245.00,245.00,245.00,75,1350,246.52,239.65,249.20
29.12.20 10:06:59,249.05,249.05,249.05,249.05,75,1275,246.67,245.10,249.90
29.12.20 10:07:59,249.05,249.05,249.05,249.05,75,1275,246.80,235.40,249.90
29.12.20 10:09:59,248.30,248.30,248.30,248.30,75,1275,246.88,236.05,250.00
29.12.20 10:15:59,244.80,244.80,244.80,244.80,75,0,246.77,244.25,249.00
29.12.20 10:41:59,239.00,239.00,239.00,239.00,75,1200,246.40,231.55,244.45
29.12.20 10:42:59,243.85,243.85,243.85,243.85,150,1275,246.18,231.25,237.70
29.12.20 10:45:59,233.00,233.00,233.00,233.00,75,1425,245.63,230.30,233.10
29.12.20 10:46:59,222.35,222.35,222.35,222.35,225,1425,243.04,208.30,229.40
29.12.20 10:47:59,224.35,226.55,224.35,226.55,150,1425,241.83,184.30,229.45
29.12.20 10:50:59,224.00,224.00,211.90,211.90,150,1500,240.29,210.25,226.15
29.12.20 11:05:59,229.60,229.60,229.60,229.60,75,1575,239.95,227.30,232.75
29.12.20 11:06:59,229.60,229.60,229.60,229.60,75,1575,239.64,180.25,232.75
29.12.20 11:10:59,234.35,234.35,234.35,234.35,75,1725,239.48,227.40,233.30
29.12.20 12:08:59,238.25,238.25,238.25,238.25,75,1800,239.45,229.90,238.60
29.12.20 12:19:59,235.05,235.05,235.05,235.05,150,1875,239.21,230.80,239.00
29.12.20 12:27:59,231.80,231.80,231.80,231.80,75,2025,239.01,232.70,238.90
29.12.20 12:32:59,237.00,237.00,237.00,237.00,75,1950,238.96,229.55,239.20
29.12.20 13:04:59,238.00,238.00,238.00,238.00,75,2025,238.94,234.90,243.65
29.12.20 13:09:59,245.00,245.00,245.00,245.00,225,1950,239.36,245.05,249.80
29.12.20 13:14:59,233.70,233.70,233.70,233.70,150,1725,239.11,241.60,248.65
29.12.20 13:17:59,251.20,251.20,251.20,251.20,300,1650,240.08,235.60,247.25
29.12.20 13:18:59,239.95,239.95,239.95,239.95,75,1875,240.08,239.85,247.25
29.12.20 13:19:59,232.85,232.85,232.85,232.85,300,1875,239.86,241.70,249.25
29.12.20 13:21:59,247.60,247.60,247.60,247.60,75,1875,240.00,243.05,250.90
29.12.20 13:24:59,251.25,251.25,251.25,251.25,75,1650,240.20,237.55,251.85
29.12.20 13:48:59,249.25,249.25,249.25,249.25,150,1650,240.52,236.55,245.75
29.12.20 14:21:59,234.80,234.80,234.80,234.80,150,1800,240.33,233.35,238.55
29.12.20 14:24:59,232.85,232.85,232.85,232.85,75,1800,240.20,233.05,239.80
29.12.20 14:59:59,238.00,238.00,238.00,238.00,75,1800,240.17,236.20,241.30
29.12.20 15:02:59,239.70,239.70,239.70,239.70,75,1725,240.16,237.75,246.70
29.12.20 15:07:59,240.00,240.00,240.00,240.00,150,1650,240.15,233.95,247.65
29.12.20 15:23:59,245.45,245.45,245.45,245.45,75,1500,240.23,237.80,245.10
29.12.20 15:30:00,247.10,247.10,247.10,247.10,150,1500,240.44,239.55,247.55
30.12.20 09:16:59,245.15,245.15,245.15,245.15,75,1650,245.15,247.25,254.90
30.12.20 09:18:59,239.90,239.90,239.90,239.90,75,1575,242.52,235.50,245.50
30.12.20 09:19:59,234.70,234.70,234.70,234.70,75,1575,239.91,236.15,245.65
30.12.20 09:20:59,235.60,235.60,235.60,235.60,75,1575,238.83,242.85,252.35
30.12.20 09:21:59,253.80,253.80,251.45,251.45,150,1500,243.43,242.25,253.30
30.12.20 09:22:59,252.65,252.65,252.65,252.65,75,1500,244.75,237.80,246.95
30.12.20 09:23:59,234.00,234.00,234.00,234.00,300,1650,240.84,231.70,242.00
30.12.20 09:27:59,240.65,240.65,240.65,240.65,75,0,240.82,236.85,244.85
30.12.20 09:33:59,245.45,245.45,245.45,245.45,150,2025,241.48,240.30,245.00
30.12.20 09:34:59,242.50,244.90,242.50,244.90,225,2025,241.80,237.60,248.65
30.12.20 09:37:59,244.90,244.90,244.90,244.90,75,2250,241.97,241.45,249.35
30.12.20 09:43:59,244.90,244.90,244.90,244.90,75,2175,242.13,245.30,253.10
30.12.20 09:56:59,240.00,240.00,240.00,240.00,75,2100,242.02,240.00,246.00
30.12.20 09:58:59,254.70,254.70,254.70,254.70,75,2175,242.62,240.05,249.35
30.12.20 10:01:59,245.15,245.15,245.15,245.15,75,2250,242.74,240.00,248.00
30.12.20 10:03:59,245.15,245.15,245.15,245.15,75,2325,242.84,240.00,254.50
30.12.20 10:21:59,240.00,240.00,240.00,240.00,75,2400,242.72,239.90,252.25
30.12.20 10:23:59,243.95,243.95,243.95,243.95,75,2400,242.77,240.95,249.85
30.12.20 10:27:59,240.00,240.00,240.00,240.00,450,2400,242.24,190.15,240.30
30.12.20 10:30:59,238.70,238.70,238.70,238.70,75,2850,242.12,235.20,250.65
30.12.20 11:01:59,255.00,255.00,255.00,255.00,150,2850,242.84,247.50,254.90
30.12.20 11:03:59,240.90,240.90,240.90,240.90,150,2925,242.74,242.50,251.70
30.12.20 11:18:59,254.00,254.00,254.00,254.00,75,2850,243.04,247.15,254.15
30.12.20 11:22:59,246.55,246.55,246.55,246.55,75,2850,243.13,247.30,253.50
30.12.20 11:28:59,252.35,252.35,252.35,252.35,150,2775,243.59,246.25,252.80
30.12.20 11:30:59,252.00,252.00,252.00,252.00,450,2925,244.69,246.25,252.30
30.12.20 11:40:59,241.70,241.70,241.70,241.70,150,3375,244.56,239.70,246.10
30.12.20 11:45:59,247.30,247.30,247.30,247.30,75,3300,244.62,242.65,252.65
30.12.20 12:14:59,243.00,243.00,243.00,243.00,75,3300,244.59,242.60,251.15
30.12.20 12:20:59,241.00,241.00,241.00,241.00,75,3225,244.52,230.35,249.95
30.12.20 12:40:59,220.00,220.00,220.00,220.00,75,3300,244.05,209.50,231.15
30.12.20 14:00:59,251.00,251.00,251.00,251.00,75,3375,244.18,242.80,254.45
30.12.20 14:01:59,254.90,254.90,254.90,254.90,75,3375,244.38,250.05,254.55
30.12.20 14:08:59,258.00,258.00,258.00,258.00,75,3375,244.62,248.50,257.70
30.12.20 14:23:59,251.75,251.75,251.75,251.75,75,3450,244.75,242.65,251.05
30.12.20 14:27:59,253.80,253.80,253.80,253.80,75,3525,244.91,246.85,254.20
30.12.20 14:30:59,250.95,250.95,250.95,250.95,75,3600,245.01,252.20,256.90
30.12.20 14:31:59,256.90,256.90,256.90,256.90,75,3600,245.21,251.75,257.00
30.12.20 14:52:59,256.90,256.90,256.90,256.90,75,3675,245.41,251.10,257.70
30.12.20 14:59:59,250.65,250.65,249.55,249.55,300,3675,245.70,247.35,254.65
30.12.20 15:02:59,252.15,252.15,252.15,252.15,75,3525,245.80,252.85,257.80
30.12.20 15:05:59,255.00,255.00,255.00,255.00,75,3525,245.94,253.30,257.80
30.12.20 15:06:59,257.80,268.40,248.15,268.40,225,3525,246.47,256.05,270.80
30.12.20 15:08:59,257.55,257.55,257.55,257.55,75,3375,246.63,255.65,263.35
30.12.20 15:11:59,263.10,264.60,263.10,264.60,225,3300,247.32,247.15,264.00
30.12.20 15:12:59,253.10,253.10,253.10,253.10,150,3300,247.48,256.75,263.40
30.12.20 15:18:59,256.55,256.55,256.55,256.55,150,3375,247.72,252.50,259.55
30.12.20 15:21:59,260.80,260.80,260.80,260.80,75,3225,247.88,256.45,262.30
30.12.20 15:26:59,257.85,257.85,257.85,257.85,75,3225,248.01,257.75,262.50
30.12.20 15:27:59,260.00,260.00,260.00,260.00,300,3225,248.59,256.20,260.00
