date,open,high,low,close,volume,oi
2020-04-13 14:20:00,150.20,150.20,150.20,150.20,20,0
2020-04-13 14:26:00,149.50,150.00,149.50,150.00,60,20
2020-04-13 14:30:00,165.00,165.00,165.00,165.00,20,80
2020-04-13 14:31:00,174.95,174.95,174.95,174.95,20,80
2020-04-13 14:42:00,175.00,175.00,175.00,175.00,20,100
2020-04-13 14:45:00,195.00,195.00,180.00,180.00,120,140
2020-04-13 14:49:00,174.50,174.50,174.50,174.50,20,220
2020-04-13 14:55:00,159.70,159.75,159.70,159.75,40,240
2020-04-13 15:02:00,169.95,169.95,169.95,169.95,40,280
2020-04-13 15:03:00,160.00,161.85,160.00,161.85,60,280
2020-04-13 15:07:00,156.05,156.05,156.00,156.00,140,260
2020-04-13 15:18:00,149.95,150.00,149.95,150.00,40,400
2020-04-13 15:23:00,152.00,152.00,152.00,152.00,20,420
2020-04-13 15:25:00,169.70,169.70,169.70,169.70,20,440
2020-04-13 15:27:00,164.95,164.95,164.95,164.95,40,400
2020-04-13 15:28:00,164.95,164.95,164.95,164.95,20,400
2020-04-15 09:18:00,165.05,204.95,165.05,204.95,40,420
2020-04-15 09:19:00,190.05,190.05,190.05,190.05,20,420
2020-04-15 09:20:00,189.95,190.00,170.00,190.00,60,460
2020-04-15 09:22:00,170.00,189.90,170.00,184.00,300,460
2020-04-15 09:23:00,175.00,184.00,170.00,170.00,160,760
2020-04-15 09:24:00,166.05,166.05,166.05,166.05,20,760
2020-04-15 09:25:00,179.95,179.95,170.00,170.00,440,760
2020-04-15 09:26:00,170.00,170.00,170.00,170.00,500,1340
2020-04-15 09:27:00,170.00,170.00,170.00,170.00,20,1340
2020-04-15 09:28:00,170.00,170.00,165.00,165.00,140,1340
2020-04-15 09:29:00,156.00,156.00,156.00,156.00,20,1960
2020-04-15 09:30:00,156.00,164.95,155.00,155.00,100,1960
2020-04-15 09:31:00,155.00,155.00,140.20,149.00,460,1960
2020-04-15 09:32:00,149.00,150.00,145.00,145.00,160,2380
2020-04-15 09:33:00,150.00,150.00,148.00,150.00,280,2380
2020-04-15 09:34:00,154.60,160.05,154.60,159.85,100,2380
2020-04-15 09:37:00,152.95,152.95,151.00,151.00,180,2700
2020-04-15 09:38:00,154.00,155.00,154.00,155.00,600,3060
2020-04-15 09:39:00,158.00,160.00,158.00,160.00,260,3060
2020-04-15 09:40:00,165.00,165.00,163.00,163.00,280,3060
2020-04-15 09:41:00,165.00,168.00,165.00,168.00,720,3320
2020-04-15 09:42:00,168.05,170.00,167.00,167.00,1600,3320
2020-04-15 09:43:00,166.00,166.00,163.95,163.95,4840,3320
2020-04-15 09:44:00,159.45,159.45,159.45,159.45,20,10040
2020-04-15 09:45:00,159.45,166.50,159.45,166.50,120,10040
2020-04-15 09:46:00,166.45,166.45,164.95,164.95,160,10040
