date,open,high,low,close,volume,oi
2020-02-03 14:55:00,25.00,25.00,25.00,25.00,75,0
2020-03-03 09:20:00,28.90,28.90,28.90,28.90,75,75
2020-03-03 09:25:00,28.90,28.90,28.90,28.90,75,75
2020-03-03 09:27:00,28.90,28.90,28.90,28.90,75,150
2020-03-03 09:51:00,35.40,35.40,35.40,35.40,300,225
2020-03-03 09:53:00,35.40,35.40,35.40,35.40,75,525
2020-03-03 09:57:00,35.40,35.40,35.40,35.40,375,600
2020-03-03 09:59:00,43.75,43.75,43.75,43.75,75,975
2020-03-03 10:00:00,40.00,40.00,40.00,40.00,75,975
2020-03-03 10:01:00,40.00,40.00,37.00,37.00,150,975
2020-03-03 10:08:00,36.00,36.00,36.00,36.00,75,1200
2020-03-03 10:10:00,39.90,39.90,39.90,39.90,75,1200
2020-03-03 10:11:00,36.00,36.00,36.00,36.00,75,1275
2020-03-03 10:14:00,38.00,38.00,38.00,38.00,900,1275
2020-03-03 10:21:00,40.00,49.00,40.00,49.00,150,2175
2020-03-03 10:23:00,50.00,50.00,50.00,50.00,75,2250
2020-03-03 10:37:00,50.00,50.00,50.00,50.00,300,2325
2020-03-03 10:41:00,61.85,61.90,61.85,61.90,2250,2625
2020-03-03 10:42:00,61.90,62.60,45.00,61.90,2250,2625
2020-03-03 10:43:00,61.00,61.00,61.00,61.00,3000,2625
2020-03-03 10:44:00,61.80,61.80,61.50,61.50,300,9975
2020-03-03 10:45:00,61.55,61.55,61.55,61.55,75,9975
2020-03-03 10:47:00,65.80,65.80,65.80,65.80,300,10050
2020-03-03 10:49:00,65.80,65.80,65.80,65.80,300,10050
2020-03-03 10:51:00,65.00,66.00,64.00,66.00,300,10425
2020-03-03 10:54:00,60.00,60.00,60.00,60.00,525,10650
2020-03-03 10:57:00,55.00,57.00,53.20,57.00,450,10725
2020-03-03 10:58:00,57.00,57.00,57.00,57.00,225,10725
2020-03-03 10:59:00,59.90,59.90,57.00,57.00,2475,12750
2020-03-03 11:04:00,48.00,48.00,48.00,48.00,75,13800
2020-03-03 11:05:00,50.00,57.00,50.00,57.00,225,13800
2020-03-03 11:07:00,53.90,53.90,53.90,53.90,75,13950
2020-03-03 11:08:00,53.85,53.95,53.85,53.95,150,13950
2020-03-03 11:09:00,53.95,53.95,53.95,53.95,75,13950
2020-03-03 11:11:00,59.75,60.00,59.75,60.00,225,14100
2020-03-03 11:13:00,59.70,59.70,59.00,59.00,450,14100
2020-03-03 11:14:00,57.50,57.50,57.50,57.50,225,14175
2020-03-03 11:15:00,56.05,56.05,56.05,56.05,150,14175
2020-03-03 11:22:00,58.00,58.00,58.00,58.00,75,14250
2020-03-03 11:31:00,60.00,60.00,59.95,59.95,150,14250
2020-03-03 11:32:00,59.95,59.95,59.95,59.95,150,14250
2020-03-03 11:33:00,58.05,58.05,58.05,58.05,75,14250
2020-03-03 11:35:00,59.80,59.80,59.80,59.80,225,14250
2020-03-03 11:36:00,63.95,63.95,63.95,63.95,300,14250
2020-03-03 11:47:00,60.05,60.05,60.05,60.05,150,14100
2020-03-03 11:49:00,61.00,63.65,60.50,63.65,450,14250
2020-03-03 11:50:00,60.60,60.60,60.60,60.60,150,14400
2020-03-03 12:06:00,70.40,70.40,70.40,70.40,75,14400
2020-03-03 12:11:00,57.95,57.95,57.95,57.95,75,14475
2020-03-03 12:15:00,57.00,57.00,55.50,56.00,600,14400
2020-03-03 12:20:00,55.00,56.10,52.30,52.30,225,14400
2020-03-03 12:25:00,53.50,53.50,53.50,53.50,75,14625
2020-03-03 12:27:00,53.50,53.50,52.30,52.30,450,14550
2020-03-03 12:28:00,52.30,52.30,52.30,52.30,150,14550
2020-03-03 12:29:00,48.00,51.50,48.00,51.50,225,14925
2020-03-03 12:32:00,50.00,50.00,48.00,48.00,150,14925
2020-03-03 12:33:00,49.80,49.80,49.00,49.00,225,15000
2020-03-03 12:36:00,49.80,49.80,49.80,49.80,450,15075
2020-03-03 12:37:00,51.50,51.50,51.50,51.50,75,15075
2020-03-03 12:41:00,51.50,51.50,49.90,49.90,150,15075
2020-03-03 12:43:00,50.90,50.90,42.70,42.70,225,15225
2020-03-03 12:55:00,50.00,50.00,50.00,50.00,150,15300
2020-03-03 12:56:00,46.00,46.00,46.00,46.00,300,15300
2020-03-03 12:59:00,46.00,46.00,46.00,46.00,75,15600
2020-03-03 13:01:00,50.00,50.00,50.00,50.00,75,15600
2020-03-03 13:03:00,52.00,52.00,52.00,52.00,75,15600
2020-03-03 13:04:00,52.00,54.90,52.00,54.90,225,15600
2020-03-03 13:05:00,53.35,58.00,53.35,58.00,150,15600
2020-03-03 13:06:00,61.00,61.00,61.00,61.00,75,15600
2020-03-03 13:07:00,57.30,59.15,57.30,59.15,150,15600
2020-03-03 13:08:00,60.00,60.00,60.00,60.00,150,15600
2020-03-03 13:10:00,66.35,66.35,66.35,66.35,75,15675
2020-03-03 13:11:00,57.00,57.00,57.00,57.00,300,15675
2020-03-03 13:15:00,58.55,58.55,58.55,58.55,75,15900
2020-03-03 13:16:00,60.00,60.10,60.00,60.10,300,15900
2020-03-03 13:17:00,61.95,61.95,60.10,60.10,450,15900
2020-03-03 13:18:00,61.95,61.95,61.95,61.95,375,15900
