date,open,high,low,close,volume,oi
2019-03-13 12:18:00,1.00,1.00,1.00,1.00,0,20
2019-03-13 12:39:00,1.75,1.75,1.75,1.75,0,20
2019-03-13 12:40:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 12:41:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 12:57:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:34:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:35:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:46:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:47:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:51:00,0.15,0.15,0.15,0.15,0,20
2019-03-13 13:53:00,1.70,1.70,1.70,1.70,0,320
2019-03-13 13:54:00,1.70,1.70,1.70,1.70,0,320
2019-03-13 13:55:00,1.70,1.70,1.70,1.70,320,320
2019-03-13 13:56:00,1.70,1.70,1.70,1.70,0,320
2019-03-13 13:57:00,1.00,1.70,1.00,1.00,20,860
2019-03-13 13:58:00,1.80,2.50,1.80,2.50,1100,860
2019-03-13 13:59:00,2.50,2.50,2.45,2.50,1500,860
2019-03-13 14:00:00,2.50,3.00,2.50,3.00,3900,4040
2019-03-13 14:01:00,3.00,3.00,3.00,3.00,3860,4040
2019-03-13 14:02:00,2.50,2.75,2.50,2.70,2000,4040
2019-03-13 14:03:00,2.55,2.55,2.20,2.20,4360,13320
2019-03-13 14:04:00,2.20,2.20,2.20,2.20,700,13320
2019-03-13 14:05:00,2.20,2.20,2.20,2.20,1200,13320
2019-03-13 14:06:00,2.20,2.25,1.70,1.70,2700,15100
2019-03-13 14:07:00,1.70,1.95,1.70,1.95,1060,15100
2019-03-13 14:08:00,1.95,2.10,1.95,2.10,3040,15100
2019-03-13 14:09:00,2.10,2.20,2.00,2.20,2740,19340
2019-03-13 14:10:00,2.20,2.20,2.00,2.00,6020,19340
2019-03-13 14:11:00,2.00,2.00,1.80,1.80,400,19340
2019-03-13 14:12:00,1.80,1.95,1.80,1.95,380,25700
2019-03-13 14:13:00,1.95,1.95,1.95,1.95,0,25700
2019-03-13 14:14:00,1.95,1.95,1.95,1.95,100,25700
2019-03-13 14:15:00,1.95,1.95,1.65,1.65,800,26080
2019-03-13 14:16:00,1.65,1.70,1.65,1.70,700,26080
2019-03-13 14:17:00,1.70,1.75,1.65,1.65,2160,26080
2019-03-13 14:18:00,1.65,1.95,1.65,1.95,80,26080
2019-03-13 14:19:00,1.95,1.95,1.95,1.95,0,26080
2019-03-13 14:20:00,1.95,1.95,1.95,1.95,0,26080
2019-03-13 14:21:00,1.95,1.95,1.95,1.95,0,26080
2019-03-13 14:22:00,1.95,1.95,1.95,1.95,0,26080
2019-03-13 14:23:00,1.95,1.95,1.65,1.65,40,26740
2019-03-13 14:24:00,1.65,1.65,1.65,1.65,0,26740
