0,1,2,3,4,5,6,7,8
30.10.20 09:15:59,24100.00,24100.00,24090.00,24090.00,50,0,24095.00,1657975.00
30.10.20 09:16:59,24104.25,24104.25,24104.25,24104.25,25,0,24098.08,1657975.00
30.10.20 09:17:59,24104.25,24104.25,24104.25,24104.25,100,100,24101.60,1703300.00
30.10.20 09:18:59,24125.00,24125.00,24059.10,24059.10,125,100,24100.37,1703300.00
30.10.20 09:20:59,24125.00,24125.00,24125.00,24125.00,25,100,24102.26,1736875.00
30.10.20 09:21:59,24190.00,24200.00,24190.00,24200.00,75,275,24119.96,1737050.00
30.10.20 09:22:59,24176.40,24176.40,24171.05,24171.05,75,275,24128.52,1737050.00
30.10.20 09:24:59,24218.00,24218.00,24218.00,24218.00,25,400,24132.99,1770625.00
30.10.20 09:25:59,24218.00,24218.00,24218.00,24218.00,25,400,24137.04,1770625.00
30.10.20 09:26:59,24190.00,24190.00,24190.00,24190.00,50,400,24141.65,1789650.00
30.10.20 09:27:59,24190.00,24190.00,24190.00,24190.00,25,475,24143.66,1789725.00
30.10.20 09:28:59,24246.80,24246.80,24200.00,24200.00,50,475,24149.79,1789725.00
30.10.20 09:29:59,24223.25,24223.25,24220.15,24220.15,50,500,24154.93,1805350.00
30.10.20 09:30:59,24200.00,24200.00,24200.00,24200.00,25,500,24156.48,1805350.00
30.10.20 09:32:59,24200.00,24200.00,24200.00,24200.00,25,500,24157.93,1814050.00
30.10.20 09:33:59,24200.00,24200.00,24200.00,24200.00,25,600,24159.29,1814150.00
30.10.20 09:35:59,24200.50,24250.00,24200.50,24250.00,125,625,24169.90,1827550.00
30.10.20 09:38:59,24250.00,24250.00,24236.00,24236.00,50,600,24173.75,1837900.00
30.10.20 09:39:59,24234.95,24234.95,24226.60,24226.60,50,600,24176.60,1837900.00
30.10.20 09:41:59,24240.00,24240.00,24240.00,24240.00,25,650,24178.15,1838875.00
30.10.20 09:42:59,24240.00,24240.00,24240.00,24240.00,25,650,24179.62,1838875.00
30.10.20 09:45:59,24250.00,24250.00,24250.00,24250.00,25,700,24181.26,1847100.00
30.10.20 09:46:59,24216.00,24216.00,24200.00,24200.00,125,700,24183.98,1847100.00
30.10.20 09:47:59,24150.00,24169.00,24150.00,24169.00,75,875,24182.67,1842250.00
30.10.20 09:48:59,24193.00,24193.00,24190.00,24190.00,50,875,24183.00,1842250.00
30.10.20 09:49:59,24190.00,24190.00,24190.00,24190.00,25,875,24183.13,1842250.00
30.10.20 09:51:59,24172.45,24172.45,24172.45,24172.45,25,975,24182.93,1843900.00
30.10.20 10:00:59,24232.00,24270.00,24232.00,24270.00,125,950,24188.89,1847350.00
30.10.20 10:01:59,24270.00,24270.00,24270.00,24270.00,25,950,24190.22,1847350.00
30.10.20 10:02:59,24290.85,24290.85,24290.85,24290.85,50,950,24193.40,1839175.00
30.10.20 10:04:59,24268.50,24268.50,24268.50,24268.50,25,875,24194.57,1839100.00
30.10.20 10:12:59,24245.05,24245.05,24245.05,24245.05,25,850,24195.35,1864475.00
30.10.20 10:20:59,24228.40,24228.40,24228.40,24228.40,25,850,24195.85,1860400.00
30.10.20 10:22:59,24265.00,24265.00,24265.00,24265.00,2050,850,24234.00,1860400.00
30.10.20 10:23:59,24258.90,24258.90,24258.90,24258.90,75,850,24234.50,1861550.00
30.10.20 10:30:59,24266.00,24266.00,24266.00,24266.00,25,2925,24234.70,1860275.00
30.10.20 10:34:59,24290.00,24290.00,24290.00,24290.00,25,2925,24235.06,1852675.00
30.10.20 10:35:59,24313.60,24313.60,24313.60,24313.60,25,2925,24235.57,1857400.00
30.10.20 10:36:59,24292.45,24292.45,24292.45,24292.45,25,2925,24235.94,1857400.00
30.10.20 10:37:59,24305.35,24305.35,24305.35,24305.35,50,2925,24236.83,1857400.00
30.10.20 10:39:59,24307.30,24307.30,24307.30,24307.30,25,2875,24237.27,1861375.00
30.10.20 10:40:59,24321.35,24321.35,24321.35,24321.35,25,2875,24237.80,1861375.00
30.10.20 10:41:59,24290.00,24290.00,24290.00,24290.00,75,2900,24238.77,1871850.00
30.10.20 10:42:59,24276.15,24276.15,24276.15,24276.15,25,2900,24239.00,1871850.00
30.10.20 10:43:59,24276.15,24276.15,24276.15,24276.15,25,2900,24239.22,1871850.00
30.10.20 10:44:59,24270.00,24270.00,24270.00,24270.00,25,2850,24239.41,1878975.00
30.10.20 10:45:59,24227.20,24227.20,24227.20,24227.20,25,2850,24239.34,1878975.00
30.10.20 10:47:59,24200.00,24200.00,24200.00,24200.00,25,2850,24239.10,1861650.00
30.10.20 10:48:59,24200.00,24200.00,24200.00,24200.00,25,2875,24238.87,1860425.00
30.10.20 10:50:59,24200.00,24200.00,24150.00,24150.00,250,2875,24234.70,1859450.00
30.10.20 10:51:59,24196.45,24196.45,24196.45,24196.45,25,3050,24234.48,1859625.00
30.10.20 10:55:59,24153.70,24153.70,24129.35,24129.35,50,3050,24233.46,1855925.00
30.10.20 10:56:59,24100.00,24100.00,24100.00,24100.00,50,3050,24232.05,1849575.00
30.10.20 10:59:59,24101.65,24101.65,24101.65,24101.65,50,3100,24230.64,1849775.00
30.10.20 11:00:59,24100.00,24100.00,24050.00,24066.80,275,3100,24221.72,1849775.00
30.10.20 11:02:59,24090.20,24090.20,24090.20,24090.20,50,3350,24220.39,1843425.00
30.10.20 11:03:59,24060.00,24060.00,24060.00,24060.00,25,3350,24219.59,1843425.00
30.10.20 11:04:59,24061.00,24061.00,24061.00,24061.00,25,3350,24218.79,1843425.00
30.10.20 11:05:59,24057.80,24057.80,24057.80,24057.80,25,3350,24217.99,1843350.00
30.10.20 11:08:59,24057.80,24057.80,24057.80,24057.80,25,3450,24217.20,1855000.00
30.10.20 11:09:59,24015.35,24015.35,24015.35,24015.35,25,3475,24216.20,1855025.00
30.10.20 11:15:59,24020.00,24020.00,24000.00,24000.00,125,3475,24211.19,1857525.00
30.10.20 11:18:59,24030.00,24030.00,24030.00,24030.00,25,3575,24210.33,1862300.00
30.10.20 11:19:59,24050.00,24050.00,24050.00,24050.00,25,3575,24209.56,1862300.00
30.10.20 11:21:59,24035.00,24035.00,24035.00,24035.00,25,3600,24208.74,1874525.00
30.10.20 11:26:59,24005.00,24005.00,24005.00,24005.00,25,3600,24207.78,1881275.00
30.10.20 11:27:59,23960.00,23960.00,23940.80,23940.80,50,3625,24205.37,1881300.00
30.10.20 11:29:59,23940.00,23940.00,23940.00,23940.00,25,3650,24204.14,1875850.00
30.10.20 11:30:59,23959.00,23965.00,23959.00,23965.00,50,3650,24201.90,1875850.00
30.10.20 11:31:59,23940.00,23940.00,23940.00,23940.00,50,3650,24199.51,1875850.00
30.10.20 11:34:59,23930.60,23930.60,23930.60,23930.60,25,3700,24198.29,1881850.00
30.10.20 11:36:59,23910.00,23910.00,23910.00,23910.00,25,3725,24196.99,1886125.00
30.10.20 11:37:59,23899.30,23899.30,23899.30,23899.30,25,3725,24195.64,1886125.00
30.10.20 11:39:59,23899.30,23899.30,23850.00,23850.00,175,3725,24185.95,1900675.00
30.10.20 11:40:59,23802.75,23802.75,23802.75,23802.75,25,3725,24184.29,1900675.00
30.10.20 11:41:59,23789.10,23813.00,23789.10,23813.00,75,3725,24179.35,1915775.00
30.10.20 11:42:59,23790.00,23790.00,23790.00,23790.00,25,3875,24177.68,1915925.00
30.10.20 11:43:59,23800.00,23800.00,23800.00,23800.00,25,3875,24176.07,1915925.00
30.10.20 11:44:59,23800.00,23800.00,23800.00,23800.00,25,3900,24174.48,1922925.00
30.10.20 11:45:59,23751.85,23751.85,23751.85,23751.85,25,3900,24172.70,1922925.00
30.10.20 11:46:59,23800.00,23800.00,23800.00,23800.00,25,3900,24171.13,1922925.00
30.10.20 11:47:59,23814.95,23814.95,23814.95,23814.95,25,3900,24169.64,1935475.00
30.10.20 11:51:59,23829.70,23852.95,23829.70,23852.95,100,3900,24164.30,1937700.00
30.10.20 11:52:59,23830.50,23830.50,23818.95,23818.95,75,3900,24160.14,1937700.00
30.10.20 11:53:59,23823.40,23823.40,23823.40,23823.40,100,3900,24154.76,1937800.00
30.10.20 11:54:59,23839.50,23839.50,23839.50,23839.50,25,4000,24153.51,1937900.00
30.10.20 11:55:59,23780.00,23780.00,23780.00,23780.00,50,4000,24150.56,1937900.00
30.10.20 11:56:59,23782.95,23782.95,23741.75,23741.80,125,4100,24142.88,1971525.00
30.10.20 11:57:59,23706.20,23706.20,23700.00,23700.00,225,4100,24128.49,1971525.00
30.10.20 11:58:59,23781.95,23781.95,23781.95,23781.95,200,4100,24117.89,1971525.00
30.10.20 11:59:59,23739.90,23739.90,23739.90,23739.90,50,4100,24115.16,1986825.00
30.10.20 12:03:59,23754.30,23760.00,23754.30,23760.00,50,4250,24112.59,2001425.00
30.10.20 12:04:59,23779.00,23779.00,23779.00,23779.00,25,4250,24111.40,2001425.00
30.10.20 12:05:59,23764.40,23764.40,23764.40,23764.40,200,4250,24102.14,2009750.00
30.10.20 12:08:59,23822.70,23822.70,23822.70,23822.70,50,4250,24100.14,2011925.00
30.10.20 12:09:59,23800.00,23800.00,23765.00,23765.00,50,4250,24097.96,2011775.00
30.10.20 12:13:59,23773.30,23773.30,23773.30,23773.30,50,4300,24095.75,2016650.00
30.10.20 12:16:59,23728.40,23731.50,23728.40,23731.50,50,4350,24093.28,2024150.00
30.10.20 12:18:59,23740.00,23756.00,23740.00,23756.00,325,4375,24078.47,2044025.00
30.10.20 12:26:59,23740.00,23742.00,23740.00,23742.00,75,4425,24075.22,2062150.00
30.10.20 12:27:59,23760.00,23760.00,23760.00,23760.00,50,4450,24073.21,2062175.00
30.10.20 12:28:59,23760.00,23760.00,23760.00,23760.00,25,4450,24072.22,2062175.00
30.10.20 12:34:59,23793.55,23793.55,23793.55,23793.55,25,4450,24071.34,2079550.00
30.10.20 12:35:59,23800.00,23822.00,23800.00,23822.00,75,4450,24068.86,2066250.00
30.10.20 12:42:59,23790.00,23790.00,23790.00,23790.00,25,4425,24067.98,2080350.00
30.10.20 12:48:59,23801.00,23801.00,23790.00,23790.00,50,4425,24066.29,2087625.00
30.10.20 12:49:59,23787.90,23787.90,23780.00,23780.00,50,4425,24064.55,2087625.00
30.10.20 12:50:59,23732.00,23732.00,23732.00,23732.00,75,4425,24061.50,2090375.00
30.10.20 12:51:59,23750.50,23750.50,23750.50,23750.50,200,4450,24054.01,2090500.00
30.10.20 12:52:59,23742.10,23742.10,23742.10,23742.10,25,4450,24053.09,2090500.00
30.10.20 12:54:59,23650.00,23650.00,23650.00,23650.00,225,4425,24043.19,2107150.00
30.10.20 12:55:59,23658.80,23658.80,23658.80,23658.80,100,4425,24038.84,2107150.00
30.10.20 12:56:59,23680.30,23680.30,23680.30,23680.30,25,4425,24037.82,2128025.00
30.10.20 12:59:59,23701.50,23701.50,23701.50,23701.50,25,0,24036.86,
30.10.20 13:05:59,23765.00,23765.00,23742.40,23742.40,225,4500,24029.75,2131575.00
30.10.20 13:07:59,23800.00,23800.00,23800.00,23800.00,25,4525,24029.11,2121850.00
30.10.20 13:09:59,23800.45,23843.15,23800.45,23843.15,75,4500,24027.46,2119300.00
30.10.20 13:10:59,23810.00,23810.00,23810.00,23810.00,25,4500,24026.86,2119300.00
30.10.20 13:13:59,23781.25,23781.25,23781.25,23781.25,25,4500,24026.19,2120200.00
30.10.20 13:16:59,23799.00,23799.00,23797.35,23797.35,50,4500,24024.95,2129475.00
30.10.20 13:17:59,23800.00,23800.00,23800.00,23800.00,25,4500,24024.34,2129475.00
30.10.20 13:24:59,23790.00,23790.00,23790.00,23790.00,2050,4500,23981.55,2134700.00
30.10.20 13:28:59,23801.55,23801.55,23801.55,23801.55,25,6500,23981.15,2139250.00
30.10.20 13:29:59,23762.50,23762.50,23762.50,23762.50,25,6500,23980.67,2139250.00
30.10.20 13:31:59,23820.10,23890.00,23820.10,23890.00,100,6500,23979.60,2138275.00
30.10.20 13:33:59,23900.00,23900.00,23900.00,23900.00,25,6500,23979.43,2106325.00
30.10.20 13:36:59,23886.50,23886.50,23886.50,23886.50,25,6475,23979.22,2115600.00
30.10.20 13:39:59,23850.70,23850.70,23850.70,23850.70,25,6500,23978.95,2114950.00
30.10.20 13:45:59,23900.00,23915.40,23900.00,23915.40,125,6475,23978.16,2123375.00
30.10.20 13:46:59,23915.40,23920.00,23915.40,23920.00,50,6475,23977.90,2123375.00
30.10.20 13:49:59,23890.00,23890.00,23890.00,23890.00,150,6350,23976.79,2104100.00
30.10.20 13:50:59,23850.00,23850.00,23850.00,23850.00,25,6350,23976.52,2104100.00
30.10.20 14:00:59,23900.00,23900.00,23900.00,23900.00,25,6525,23976.36,2127650.00
30.10.20 14:04:59,23950.00,23950.00,23936.40,23936.40,50,6525,23976.22,2108450.00
30.10.20 14:06:59,23970.00,23970.00,23970.00,23970.00,25,6525,23976.21,2090700.00
30.10.20 14:08:59,23970.00,23970.00,23970.00,23970.00,25,6500,23976.19,2090675.00
30.10.20 14:11:59,23959.00,23959.00,23959.00,23959.00,25,6475,23976.16,2071025.00
30.10.20 14:13:59,23932.00,23932.00,23932.00,23932.00,25,6500,23976.07,2064500.00
30.10.20 14:16:59,23925.00,23925.00,23920.35,23920.35,75,6500,23975.73,2067300.00
30.10.20 14:17:59,23940.00,23940.00,23940.00,23940.00,100,6500,23975.44,2067300.00
30.10.20 14:23:59,23920.00,23920.00,23920.00,23920.00,25,6350,23975.32,2077250.00
30.10.20 14:24:59,23919.85,23919.85,23900.05,23900.05,175,6525,23974.50,2079725.00
30.10.20 14:25:59,23846.45,23846.45,23846.45,23846.45,25,6525,23974.24,2079725.00
30.10.20 14:27:59,23889.40,23889.40,23889.40,23889.40,50,6550,23973.90,2070725.00
30.10.20 14:30:59,23887.20,23930.40,23887.20,23930.40,75,6575,23973.50,2073275.00
30.10.20 14:34:59,23959.60,23967.60,23959.60,23967.60,75,6600,23973.43,2073100.00
30.10.20 14:42:59,23949.90,23949.90,23949.90,23949.90,100,6600,23973.25,2055775.00
30.10.20 14:45:59,23900.00,23900.00,23900.00,23900.00,25,6600,23973.10,2048750.00
30.10.20 14:48:59,23951.00,23951.00,23951.00,23951.00,25,6600,23973.06,2051200.00
30.10.20 14:51:59,23997.00,24000.00,23997.00,24000.00,150,6625,23973.35,2051975.00
30.10.20 14:54:59,23966.15,23966.15,23966.15,23966.15,25,6625,23973.33,2030250.00
30.10.20 14:56:59,23964.05,23964.05,23964.05,23964.05,25,6550,23973.32,2030175.00
30.10.20 15:00:59,23979.15,23980.00,23979.15,23980.00,100,6525,23973.36,2024675.00
30.10.20 15:01:59,23951.80,23951.80,23951.80,23951.80,25,6500,23973.32,2024650.00
30.10.20 15:10:59,23957.60,23957.60,23957.60,23957.60,25,6500,23973.29,2012150.00
30.10.20 15:11:59,23960.00,23960.00,23960.00,23960.00,25,6500,23973.27,2012150.00
30.10.20 15:14:59,23966.10,23966.10,23966.10,23966.10,25,6475,23973.25,1992350.00
30.10.20 15:15:59,23980.00,23980.00,23980.00,23980.00,25,6475,23973.27,1980175.00
30.10.20 15:17:59,23970.55,23970.55,23970.55,23970.55,25,6450,23973.26,1980150.00
30.10.20 15:18:59,23973.40,23973.40,23969.45,23969.45,50,6475,23973.25,1964075.00
30.10.20 15:21:59,24000.00,24000.00,24000.00,24000.00,25,6475,23973.30,1934825.00
30.10.20 15:22:59,24000.00,24000.00,24000.00,24000.00,25,6450,23973.35,1934800.00
30.10.20 15:23:59,24003.10,24003.10,24003.10,24003.10,25,6450,23973.41,1934800.00
30.10.20 15:24:59,23995.70,23995.70,23995.70,23995.70,25,6450,23973.45,1913575.00
30.10.20 15:25:59,24010.00,24017.40,24010.00,24017.40,50,6450,23973.60,1913575.00
30.10.20 15:28:59,23995.00,23995.00,23995.00,23995.00,25,6400,23973.64,1877000.00
