0,1,2,3,4,5,6,7,8,9,10
27.03.20 09:15:59,20900.00,20900.00,20900.00,20900.00,600,0,831400.00,,,
27.03.20 09:16:59,20941.35,21142.70,20901.20,20901.20,60,0,831400.00,,,
27.03.20 09:18:59,20853.50,20853.50,20800.00,20800.00,40,620,857520.00,,,
27.03.20 09:20:59,20800.00,20800.00,20800.00,20800.00,20,620,876700.00,,,
27.03.20 09:21:59,20700.00,20700.00,20700.00,20700.00,20,680,876760.00,,,
27.03.20 09:25:59,20950.00,20950.00,20950.00,20950.00,20,700,887920.00,,,
27.03.20 09:26:59,20873.10,20873.10,20813.05,20813.05,40,680,890660.00,,,
27.03.20 09:28:59,20935.00,20935.00,20935.00,20935.00,20,680,890660.00,,,
27.03.20 09:31:59,20975.00,21100.00,20975.00,21100.00,40,720,895380.00,,,
27.03.20 09:32:59,21070.00,21070.00,21070.00,21070.00,20,720,906660.00,,,
27.03.20 09:34:59,21200.00,21200.00,21200.00,21200.00,20,700,906640.00,,,
27.03.20 09:35:59,21048.65,21048.65,21048.65,21048.65,20,680,909320.00,,,
27.03.20 09:36:59,21098.50,21098.50,21013.45,21013.45,40,680,909320.00,,,
27.03.20 09:42:59,21045.45,21045.45,21045.45,21045.45,20,700,923960.00,,,
27.03.20 09:49:59,21051.95,21051.95,21051.95,21051.95,20,700,919160.00,,,
27.03.20 09:56:59,21045.00,21045.00,21000.00,21000.00,40,700,926880.00,,,
27.03.20 09:57:59,20998.70,20998.70,20998.70,20998.70,20,700,926880.00,,,
27.03.20 10:07:59,20800.00,20879.00,20800.00,20879.00,40,740,940200.00,,,
27.03.20 10:08:59,21150.00,21250.00,21150.00,21250.00,40,740,958080.00,,,
27.03.20 10:15:59,20800.00,20800.00,20800.00,20800.00,20,700,970200.00,,,
27.03.20 10:17:59,20739.95,20739.95,20739.95,20739.95,20,700,965260.00,,,
27.03.20 10:23:59,20737.15,20737.15,20737.15,20737.15,20,720,969420.00,,,
27.03.20 10:24:59,21000.00,21000.00,21000.00,21000.00,20,720,969420.00,,,
27.03.20 10:25:59,21000.00,21000.00,21000.00,21000.00,20,720,969420.00,,,
27.03.20 10:28:59,20900.05,20900.05,20900.05,20900.05,20,720,992500.00,,,
27.03.20 10:29:59,20755.95,20755.95,20755.95,20755.95,100,720,993740.00,,,
27.03.20 10:30:59,20719.90,20784.15,20719.90,20784.15,220,720,993740.00,,,
27.03.20 10:34:59,20500.00,20500.00,20500.00,20500.00,20,780,977560.00,,,
27.03.20 10:41:59,20641.30,20641.30,20641.30,20641.30,80,760,988240.00,,,
27.03.20 10:43:59,20562.45,20562.45,20434.75,20434.75,60,760,988240.00,,,
27.03.20 10:45:59,20500.00,20500.00,20411.50,20411.50,40,820,978620.00,,,
27.03.20 10:46:59,20500.00,20500.00,20500.00,20500.00,20,820,978620.00,,,
27.03.20 10:48:59,20600.00,20600.00,20597.00,20597.00,40,820,982980.00,,,
27.03.20 10:49:59,20500.00,20500.00,20500.00,20500.00,20,820,982980.00,,,
27.03.20 10:51:59,20445.25,20445.25,20445.25,20445.25,40,880,982320.00,,,
27.03.20 10:55:59,20300.00,20300.00,20251.65,20251.65,40,880,981220.00,,,
27.03.20 10:56:59,20100.00,20133.30,20094.10,20133.30,60,880,984860.00,,,
27.03.20 10:57:59,20000.00,20000.00,20000.00,20000.00,20,880,984860.00,,,
27.03.20 11:00:59,20000.00,20000.00,20000.00,20000.00,80,880,982980.00,,,
27.03.20 11:02:59,20041.60,20041.60,20041.60,20041.60,20,880,993720.00,,,
27.03.20 11:04:59,20232.45,20243.75,20232.45,20243.75,40,880,993720.00,,,
27.03.20 11:07:59,20093.10,20093.10,20093.10,20093.10,20,860,989520.00,,,
27.03.20 11:09:59,20000.00,20053.85,20000.00,20053.85,40,880,986560.00,,,
27.03.20 11:10:59,20000.00,20000.00,20000.00,20000.00,20,880,986560.00,,,
27.03.20 11:12:59,19900.00,19900.00,19900.00,19900.00,40,880,987880.00,,,
27.03.20 11:15:59,19800.00,19843.95,19800.00,19843.95,40,880,992700.00,,,
27.03.20 11:18:59,19798.00,19798.00,19798.00,19798.00,60,900,988320.00,,,
27.03.20 11:19:59,19850.00,19850.00,19850.00,19850.00,20,900,988320.00,,,
27.03.20 11:20:59,19800.00,19800.00,19800.00,19800.00,20,900,991820.00,,,
27.03.20 11:21:59,19800.00,19867.15,19800.00,19850.00,60,900,991820.00,,,
27.03.20 11:23:59,19976.10,19976.10,19976.10,19976.10,20,900,997580.00,,,
27.03.20 11:25:59,19969.70,19969.70,19880.00,19900.00,60,920,997600.00,,,
27.03.20 11:28:59,20217.10,20217.10,20217.10,20217.10,20,960,1001700.00,,,
27.03.20 11:29:59,20054.15,20054.15,20054.15,20054.15,20,940,1000880.00,,,
27.03.20 11:33:59,20200.00,20200.00,20200.00,20200.00,20,940,1001960.00,,,
27.03.20 11:42:59,19995.70,19995.70,19995.70,19995.70,20,920,1008440.00,,,
27.03.20 11:47:59,19983.45,19983.45,19983.45,19983.45,20,900,1012420.00,,,
27.03.20 11:54:59,20150.10,20150.10,20150.10,20150.10,20,920,1029480.00,,,
27.03.20 11:57:59,20371.15,20371.15,20371.15,20371.15,20,940,1032540.00,,,
27.03.20 12:00:59,20471.60,20471.60,20471.60,20471.60,20,920,1019760.00,,,
27.03.20 12:01:59,20500.00,20500.00,20500.00,20500.00,20,920,1019760.00,,,
27.03.20 12:10:59,20315.20,20315.20,20315.20,20315.20,80,920,1015980.00,,,
27.03.20 12:17:59,20085.05,20085.05,20085.05,20085.05,20,920,1019740.00,,,
27.03.20 12:31:59,20216.60,20216.60,20216.60,20216.60,60,920,1029160.00,,,
27.03.20 12:32:59,20052.35,20052.35,20052.35,20052.35,20,960,1024800.00,,,
27.03.20 12:35:59,20000.00,20000.00,20000.00,20000.00,20,960,1027000.00,,,
27.03.20 12:47:59,20000.00,20000.00,20000.00,20000.00,20,980,1035200.00,,,
27.03.20 12:48:59,19980.05,19980.05,19980.00,19980.00,40,980,1035240.00,,,
27.03.20 12:49:59,19986.35,19986.35,19950.00,19950.00,40,980,1035240.00,,,
27.03.20 12:50:59,19951.80,19951.80,19951.80,19951.80,20,980,1037380.00,,,
27.03.20 12:55:59,19903.95,19903.95,19903.95,19903.95,20,980,1037880.00,,,
27.03.20 13:02:59,19900.00,19900.00,19900.00,19900.00,60,1000,1040160.00,,,
27.03.20 13:06:59,19849.80,19849.80,19849.80,19849.80,20,1040,1040060.00,,,
27.03.20 13:11:59,19826.00,19826.00,19826.00,19826.00,20,1040,1043380.00,,,
27.03.20 13:16:59,19826.00,19826.00,19826.00,19826.00,20,1040,1044660.00,,,
27.03.20 13:19:59,19730.00,19730.00,19730.00,19730.00,20,1060,1045380.00,,,
27.03.20 13:24:59,19600.00,19600.00,19600.00,19600.00,100,1080,1047280.00,,,
27.03.20 13:25:59,19591.20,19591.20,19591.20,19591.20,20,1080,1047280.00,,,
27.03.20 13:26:59,19500.00,19500.00,19500.00,19500.00,20,1080,1044900.00,,,
27.03.20 13:34:59,19600.00,19600.00,19600.00,19600.00,20,1200,1053660.00,,,
27.03.20 13:47:59,19950.00,19950.00,19950.00,19950.00,20,1200,1061900.00,,,
27.03.20 14:03:59,19950.00,19950.00,19950.00,19950.00,20,1200,1067060.00,,,
27.03.20 14:05:59,19980.00,19980.00,19980.00,19980.00,20,1200,1067060.00,,,
27.03.20 14:12:59,20126.00,20126.00,20126.00,20126.00,20,1200,1075880.00,,,
27.03.20 14:15:59,20250.00,20250.00,20250.00,20250.00,40,1220,1079940.00,,,
27.03.20 14:16:59,20249.05,20249.05,20249.05,20249.05,20,1220,1079940.00,,,
27.03.20 14:25:59,20252.35,20252.35,20252.35,20252.35,20,1200,1090920.00,,,
27.03.20 14:29:59,20400.00,20400.00,20400.00,20400.00,40,1220,1093140.00,,,
27.03.20 14:31:59,20300.00,20300.00,20300.00,20300.00,20,1240,1094120.00,,,
27.03.20 14:33:59,20243.60,20243.60,20243.60,20243.60,20,1240,1101840.00,,,
27.03.20 14:34:59,20052.45,20052.45,20052.45,20052.45,20,1240,1101840.00,,,
27.03.20 14:38:59,19894.35,19894.35,19894.35,19894.35,20,1240,1097300.00,,,
27.03.20 14:39:59,19903.65,19928.45,19903.65,19928.45,40,1240,1096840.00,,,
27.03.20 14:44:59,19868.80,19868.80,19825.20,19825.20,40,1260,1101620.00,,,
27.03.20 14:45:59,19850.00,19850.00,19850.00,19850.00,60,1260,1102280.00,,,
27.03.20 14:48:59,19800.10,19800.10,19800.10,19800.10,20,1340,1101980.00,,,
27.03.20 14:52:59,19911.40,19911.40,19911.40,19911.40,20,1360,1106160.00,,,
27.03.20 14:55:59,19795.35,19795.35,19795.35,19795.35,20,1380,1107700.00,,,
27.03.20 14:56:59,20000.00,20000.00,20000.00,20000.00,40,1380,1107700.00,,,
27.03.20 14:59:59,19940.00,19940.00,19940.00,19940.00,140,1380,1096040.00,,,
27.03.20 15:01:59,19850.00,19870.70,19850.00,19870.70,160,1380,1088660.00,,,
