0,1,2,3,4,5,6,7,8,9
10.11.20 09:41:59,5.50,5.50,5.50,5.50,600,0,5.50,,
10.11.20 09:42:59,7.55,7.55,7.55,7.55,225,0,6.05,,
10.11.20 09:43:59,8.25,8.25,8.00,8.00,150,0,6.37,,
10.11.20 09:44:59,8.00,8.00,8.00,8.00,75,0,6.49,,
10.11.20 09:47:59,8.00,8.00,8.00,8.00,75,0,6.59,,
10.11.20 09:52:59,8.00,8.00,8.00,8.00,300,900,6.88,,
10.11.20 10:05:59,8.00,8.00,8.00,8.00,75,1425,6.94,,
10.11.20 10:21:59,10.15,10.15,10.00,10.00,150,1500,7.22,,
10.11.20 10:26:59,9.85,9.85,9.85,9.85,150,1500,7.44,,
10.11.20 10:39:59,9.85,9.85,9.85,9.85,150,1350,7.63,,
10.11.20 10:40:59,11.40,11.40,11.40,11.40,75,1350,7.77,,
10.11.20 11:46:59,12.90,12.90,12.90,12.90,150,1350,8.12,,
10.11.20 11:47:59,10.15,10.15,10.15,10.15,150,1500,8.25,,
10.11.20 12:28:59,12.50,12.50,12.50,12.50,150,1350,8.51,,
10.11.20 12:29:59,13.90,13.90,13.90,13.90,150,1350,8.82,,
10.11.20 12:37:59,10.00,10.00,10.00,10.00,300,1650,9.03,,
10.11.20 12:38:59,12.50,12.50,12.50,12.50,150,1650,9.20,,
10.11.20 13:02:59,14.30,14.30,14.30,14.30,150,1500,9.44,,
10.11.20 13:47:59,14.00,14.00,14.00,14.00,300,1650,9.82,,
10.11.20 13:48:59,13.30,13.50,13.30,13.50,375,1725,10.16,,
10.11.20 13:49:59,13.50,13.50,13.50,13.50,75,1725,10.22,,
10.11.20 14:13:59,11.00,11.00,11.00,11.00,75,1500,10.24,,
10.11.20 14:15:59,9.30,9.30,9.30,9.30,150,1500,10.20,,
10.11.20 14:16:59,9.90,9.90,9.90,9.90,225,1500,10.19,,
10.11.20 14:19:59,11.95,11.95,11.95,11.95,75,1575,10.22,,
10.11.20 14:24:59,9.35,9.35,9.35,9.35,75,1575,10.20,,
10.11.20 14:52:59,13.40,13.40,13.40,13.40,300,1500,10.40,,
10.11.20 15:02:59,14.35,14.40,14.35,14.40,225,1800,10.57,,
10.11.20 15:03:59,14.30,14.30,14.30,14.30,150,1800,10.68,,
10.11.20 15:26:59,16.70,16.70,16.70,16.70,225,1800,10.93,,
10.11.20 15:30:00,12.05,12.05,12.05,12.05,75,2025,10.94,,
11.11.20 09:32:59,20.05,20.05,20.05,20.05,75,1950,20.05,,
11.11.20 09:49:59,20.00,21.35,20.00,21.35,5025,2025,20.02,,
11.11.20 09:52:59,18.80,18.80,18.80,18.80,75,2025,20.00,,
11.11.20 09:54:59,19.30,19.30,18.85,18.85,375,2025,19.94,,
11.11.20 09:58:59,19.25,19.25,19.25,19.25,75,2025,19.94,,
11.11.20 10:08:59,19.00,19.00,19.00,19.00,3600,6225,19.57,,
11.11.20 10:10:59,19.00,19.20,18.95,19.20,2100,6225,19.46,,
11.11.20 10:11:59,18.75,19.20,18.70,19.20,975,6225,19.43,,
11.11.20 10:12:59,18.95,19.20,18.95,19.00,1200,6225,19.40,,
11.11.20 10:13:59,19.00,19.30,19.00,19.30,450,6225,19.39,,
11.11.20 10:15:59,19.15,19.15,19.15,19.15,75,4125,19.39,,
11.11.20 10:16:59,19.25,19.25,19.25,19.25,300,4125,19.39,,
11.11.20 10:17:59,18.95,19.25,18.95,19.25,375,4125,19.38,,
11.11.20 10:22:59,17.90,17.90,17.90,17.90,75,4050,19.37,,
11.11.20 10:28:59,19.50,19.50,19.50,19.50,450,4050,19.37,,
11.11.20 10:30:59,19.55,19.55,19.55,19.55,75,3675,19.37,,
11.11.20 10:41:59,19.55,19.55,19.55,19.55,225,4875,19.38,,
11.11.20 11:00:59,17.60,17.60,17.60,17.60,75,8775,19.37,,
11.11.20 11:04:59,16.35,16.35,16.35,16.35,75,8850,19.35,,
11.11.20 11:05:59,16.15,16.15,16.15,16.15,75,8850,19.34,,
11.11.20 11:06:59,16.00,16.00,16.00,16.00,75,8850,19.32,,
11.11.20 11:07:59,16.00,16.00,15.95,16.00,225,8850,19.28,,
11.11.20 11:14:59,15.20,15.20,13.00,13.00,1950,9300,18.70,,
11.11.20 11:15:59,12.65,12.65,11.00,11.00,900,9300,18.36,,
11.11.20 11:16:59,12.00,15.65,12.00,13.80,1200,9300,18.09,,
11.11.20 11:17:59,14.00,14.00,13.95,13.95,525,9300,17.99,,
11.11.20 11:22:59,12.50,12.50,12.40,12.40,375,10575,17.89,,
11.11.20 11:23:59,12.45,12.45,12.45,12.45,75,10575,17.87,,
11.11.20 11:24:59,13.50,13.80,13.50,13.80,150,10200,17.84,,
11.11.20 11:25:59,14.90,14.90,14.90,14.90,75,10200,17.83,,
11.11.20 11:26:59,14.50,14.50,14.50,14.50,150,10200,17.80,,
11.11.20 11:31:59,14.85,14.85,14.85,14.85,75,10200,17.79,,
11.11.20 11:35:59,15.25,15.30,15.25,15.30,225,10125,17.77,,
11.11.20 11:37:59,14.55,14.60,14.55,14.60,525,10275,17.69,,
11.11.20 11:39:59,14.00,14.00,13.80,13.80,300,10275,17.64,,
11.11.20 11:41:59,14.35,14.35,14.00,14.00,225,10275,17.61,,
11.11.20 11:43:59,13.70,13.70,13.70,13.70,75,10275,17.59,,
11.11.20 11:56:59,12.85,12.85,12.80,12.80,300,9300,17.53,,
11.11.20 12:01:59,13.40,13.40,13.40,13.40,75,9600,17.52,,
11.11.20 12:26:59,13.40,13.40,13.40,13.40,150,9000,17.49,,
11.11.20 12:27:59,13.35,13.35,13.35,13.35,150,9000,17.47,,
11.11.20 12:37:59,14.95,14.95,14.95,14.95,75,9375,17.46,,
11.11.20 13:25:59,11.05,11.05,11.05,11.05,1125,3525,17.17,,
11.11.20 13:42:59,15.80,15.80,15.80,15.80,75,4350,17.16,,
11.11.20 13:46:59,11.80,11.80,11.80,11.80,75,4350,17.15,,
11.11.20 13:47:59,15.40,15.40,15.40,15.40,150,4350,17.14,,
11.11.20 13:59:59,14.55,14.55,14.55,14.55,75,4425,17.13,,
11.11.20 14:12:59,14.90,14.90,14.90,14.90,75,4425,17.12,,
11.11.20 14:49:59,15.00,15.00,15.00,15.00,75,4350,17.11,,
11.11.20 14:50:59,14.40,14.40,14.40,14.40,150,4350,17.10,,
11.11.20 14:51:59,18.00,18.00,14.00,14.00,450,4575,17.07,,
11.11.20 14:52:59,15.95,15.95,14.90,14.90,300,4575,17.05,,
11.11.20 14:54:59,14.80,14.80,14.80,14.80,75,4575,17.04,,
11.11.20 14:55:59,14.80,14.80,14.80,14.80,150,4725,17.03,,
11.11.20 15:28:59,17.45,18.20,11.95,11.95,975,4725,16.93,,
11.11.20 15:30:00,15.00,15.30,15.00,15.30,300,4725,16.91,,
12.11.20 09:16:59,8.35,8.35,8.30,8.30,150,4125,8.32,,
12.11.20 09:19:59,9.50,9.50,9.50,9.50,75,4125,8.71,,
12.11.20 09:22:59,16.10,16.10,16.10,16.10,75,4125,10.56,,
12.11.20 09:28:59,11.15,11.15,11.15,11.15,225,4125,10.81,,
12.11.20 09:30:59,12.55,12.60,12.55,12.60,300,4200,11.45,,
12.11.20 09:35:59,12.60,12.60,12.60,12.60,75,4200,11.55,,
12.11.20 09:47:59,11.95,11.95,11.95,11.95,75,0,11.58,,
12.11.20 09:49:59,12.50,13.00,12.50,13.00,150,4200,11.74,,
12.11.20 10:48:59,12.95,12.95,12.95,12.95,75,4275,11.81,,
12.11.20 11:14:59,11.30,11.30,11.30,11.30,150,4350,11.75,,
12.11.20 11:17:59,11.00,11.00,11.00,11.00,300,4350,11.62,,
12.11.20 11:18:59,11.10,11.10,11.10,11.10,75,4425,11.60,,
12.11.20 11:30:59,11.40,11.40,11.40,11.40,75,4350,11.59,,
12.11.20 11:34:59,11.40,11.50,11.40,11.50,150,4350,11.58,,
12.11.20 12:16:59,11.05,11.05,11.05,11.05,75,4275,11.56,,
12.11.20 12:20:59,10.70,10.70,10.70,10.70,75,4200,11.53,,
