0,1,2,3,4,5,6,7
29.05.20 09:21:59,674.45,674.45,674.45,674.45,75,0,674.45
29.05.20 09:30:59,639.10,639.10,639.10,639.10,75,75,656.77
29.05.20 09:54:59,639.10,639.10,639.10,639.10,75,75,650.88
29.05.20 10:41:59,700.00,700.00,700.00,700.00,75,150,663.16
29.05.20 11:59:59,660.00,660.00,660.00,660.00,75,150,662.53
29.05.20 14:10:59,703.45,703.45,703.45,703.45,75,150,669.35
29.05.20 14:25:59,704.30,704.30,704.30,704.30,75,225,674.34
01.06.20 09:15:59,891.85,891.85,891.85,891.85,75,300,891.85
01.06.20 09:25:59,930.25,930.25,930.25,930.25,75,375,911.05
02.06.20 15:27:59,1150.00,1150.00,1150.00,1150.00,75,300,1150.00
03.06.20 15:14:59,1230.00,1230.00,1230.00,1230.00,75,375,1230.00
