date,open,high,low,close,volume,oi,vwap
2020-08-28 09:29:00,2631.25,2631.25,2631.25,2631.25,25,0,2631.25
2020-08-28 10:35:00,2808.30,2808.30,2808.30,2808.30,600,25,2801.21
2020-08-28 10:39:00,2893.35,2893.35,2893.35,2893.35,25,0,2804.76
2020-08-28 11:42:00,3072.35,3072.35,3072.35,3072.35,600,625,2933.20
2020-08-28 15:12:00,3269.20,3269.20,3269.20,3269.20,25,1225,2939.79
2020-03-09 14:49:00,2703.20,2703.20,2703.20,2703.20,25,1225,2703.20
2020-03-09 15:25:00,1973.00,1973.00,1973.00,1973.00,25,1250,2338.10
2020-04-09 09:35:00,1825.00,1825.00,1825.00,1825.00,25,1225,1825.00
2020-04-09 14:13:00,2050.00,2050.00,2050.00,2050.00,25,1250,1937.50
2020-04-09 14:40:00,1877.25,1877.25,1877.25,1877.25,25,1250,1917.41
2020-07-09 09:42:00,1781.35,1781.35,1781.35,1781.35,25,1225,1781.35
2020-07-09 14:14:00,1880.00,1880.00,1880.00,1880.00,50,1250,1847.11
2020-07-09 14:29:00,1863.85,1863.85,1863.85,1863.85,75,1200,1855.48
2020-07-09 14:37:00,1692.45,1692.45,1692.45,1692.45,50,1125,1814.72
2020-08-09 09:20:00,1750.30,1750.30,1750.30,1750.30,25,1075,1750.30
2020-08-09 12:04:00,1809.00,1809.00,1809.00,1809.00,25,1100,1779.65
2020-08-09 15:03:00,1638.00,1638.00,1638.00,1638.00,50,1075,1708.82
2020-09-09 09:49:00,1371.25,1371.25,1371.25,1371.25,25,1025,1371.25
2020-09-09 10:18:00,1310.00,1310.00,1310.00,1310.00,100,1000,1322.27
2020-09-09 10:23:00,1273.05,1273.05,1273.05,1273.05,25,900,1314.06
2020-11-09 09:16:00,1416.75,1416.75,1416.75,1416.75,25,900,1416.75
2020-11-09 09:22:00,1440.75,1440.80,1440.75,1440.75,75,925,1434.77
2020-11-09 09:43:00,1272.50,1272.50,1272.50,1272.50,50,850,1380.68
2020-11-09 10:32:00,1242.40,1242.40,1242.40,1242.40,25,800,1360.92
2020-11-09 12:09:00,1255.10,1255.10,1255.10,1255.10,25,775,1347.70
2020-11-09 13:42:00,1220.00,1220.00,1220.00,1220.00,100,775,1305.13
2020-11-09 13:55:00,1149.50,1149.50,1149.50,1149.50,75,800,1274.10
