date,open,high,low,close,volume,oi,vwap
2020-09-25 09:19:00,114.15,114.15,114.15,114.15,25,0,114.15
2020-09-25 09:21:00,112.00,112.00,112.00,112.00,25,25,113.07
2020-09-25 09:22:00,109.00,111.15,109.00,111.15,75,25,111.49
2020-09-25 09:23:00,111.85,111.85,111.85,111.85,25,125,111.55
2020-09-25 09:24:00,125.50,125.50,125.50,125.50,50,125,115.03
2020-09-25 09:25:00,112.45,112.45,112.45,112.45,225,125,113.71
2020-09-25 09:27:00,130.60,130.60,130.60,130.60,25,375,114.65
2020-09-25 09:28:00,122.40,142.00,122.40,130.00,125,375,118.17
2020-09-25 09:29:00,135.45,135.45,130.00,130.00,75,425,119.91
2020-09-25 09:31:00,130.00,130.00,130.00,130.00,25,425,120.28
2020-09-25 09:33:00,130.00,130.00,130.00,130.00,25,425,120.63
2020-09-25 09:34:00,130.00,130.00,130.00,130.00,25,425,120.95
2020-09-25 09:35:00,125.00,125.00,120.00,120.00,150,450,121.50
2020-09-25 09:37:00,130.00,130.00,130.00,130.00,25,450,121.74
2020-09-25 09:38:00,112.50,112.50,112.50,112.50,25,450,121.49
2020-09-25 09:42:00,112.75,149.85,112.75,135.85,150,475,122.43
2020-09-25 09:43:00,120.00,154.95,120.00,154.95,200,475,125.08
2020-09-25 09:44:00,105.00,167.90,100.00,145.00,725,925,127.73
2020-09-25 09:45:00,124.10,124.10,80.00,80.00,125,925,126.62
2020-09-25 09:46:00,99.15,114.90,76.10,82.00,175,925,123.75
2020-09-25 09:47:00,114.00,114.00,114.00,114.00,25,925,123.64
2020-09-25 09:48:00,114.00,114.00,95.10,95.10,75,750,123.14
2020-09-25 09:49:00,114.95,114.95,114.95,114.95,25,750,123.06
2020-09-25 09:55:00,103.80,103.80,103.80,103.80,25,675,122.86
2020-09-25 09:56:00,115.00,115.00,105.50,105.50,75,700,122.45
2020-09-25 09:57:00,113.90,115.00,113.90,114.95,125,700,122.08
2020-09-25 09:58:00,115.00,115.00,115.00,115.00,50,700,121.95
2020-09-25 10:04:00,115.00,115.00,115.00,115.00,50,875,121.83
2020-09-25 10:05:00,115.00,115.00,115.00,115.00,25,925,121.76
2020-09-25 10:06:00,124.75,124.75,124.75,124.75,25,925,121.79
2020-09-25 10:08:00,125.00,125.00,123.45,123.45,125,925,121.89
2020-09-25 10:15:00,115.10,118.90,113.10,118.90,75,1025,121.73
2020-09-25 10:16:00,113.00,113.00,113.00,113.00,50,1025,121.59
2020-09-25 10:19:00,124.80,124.80,124.80,124.80,75,1075,121.66
2020-09-25 10:20:00,125.00,125.00,125.00,125.00,75,1075,121.74
2020-09-25 10:22:00,120.40,120.40,120.40,120.40,50,1200,121.72
2020-09-25 10:23:00,120.40,120.40,120.40,120.40,25,1200,121.71
2020-09-25 10:25:00,121.10,121.10,121.10,121.10,25,1200,121.71
2020-09-25 10:33:00,112.25,112.25,112.25,112.25,75,1225,121.50
2020-09-25 10:34:00,112.25,115.00,112.25,115.00,100,1225,121.27
2020-09-25 10:35:00,115.00,115.00,115.00,115.00,50,1425,121.18
2020-09-25 10:37:00,114.15,114.15,114.15,114.15,250,1425,120.72
2020-09-25 10:38:00,121.80,121.80,121.80,121.80,25,1425,120.72
2020-09-25 10:41:00,121.95,121.95,121.95,121.95,25,1700,120.73
2020-09-25 10:44:00,116.30,116.30,116.30,116.30,50,1725,120.68
2020-09-25 10:45:00,120.95,121.00,120.95,121.00,150,1750,120.69
2020-09-25 10:52:00,115.00,115.00,115.00,115.00,300,1900,120.29
2020-09-25 10:53:00,117.00,117.00,114.20,114.20,50,2225,120.24
2020-09-25 10:54:00,115.00,115.00,114.95,115.00,225,2225,119.98
2020-09-25 10:56:00,115.00,115.00,115.00,115.00,100,2450,119.88
2020-09-25 11:02:00,113.00,113.00,113.00,113.00,100,2550,119.73
2020-09-25 11:05:00,113.00,119.00,113.00,119.00,175,2750,119.52
2020-09-25 11:06:00,111.65,111.75,111.65,111.75,50,2750,119.45
2020-09-25 11:16:00,109.00,109.00,109.00,109.00,75,2800,119.29
2020-09-25 11:18:00,111.00,111.00,111.00,111.00,150,2850,119.06
2020-09-25 11:20:00,110.00,110.00,110.00,110.00,50,3000,118.97
2020-09-25 11:21:00,110.15,110.15,110.15,110.15,100,3000,118.81
2020-09-25 11:24:00,107.15,107.15,107.15,107.15,225,3150,118.34
2020-09-25 11:25:00,108.00,108.00,108.00,108.00,50,3150,118.25
2020-09-25 11:29:00,105.00,105.05,105.00,105.05,125,3400,117.96
2020-09-25 11:35:00,106.35,106.35,106.35,106.35,75,3525,117.82
2020-09-25 11:52:00,106.35,106.35,106.35,106.35,50,3575,117.73
2020-09-25 12:08:00,105.00,105.00,101.50,101.50,100,3625,117.49
2020-09-25 12:11:00,107.60,107.60,107.60,107.60,25,3675,117.45
2020-09-25 12:14:00,107.15,107.15,107.15,107.15,25,3675,117.41
2020-09-25 12:15:00,87.35,103.10,87.35,103.10,75,3700,117.10
2020-09-25 12:19:00,98.05,99.00,98.05,99.00,50,3700,116.95
2020-09-25 12:23:00,89.55,90.00,89.55,90.00,1075,4225,112.94
2020-09-25 12:24:00,90.60,90.60,90.60,90.60,25,4225,112.86
2020-09-25 12:27:00,91.60,91.60,90.00,90.00,150,4725,112.43
2020-09-25 12:28:00,85.70,87.40,85.70,87.40,225,4725,111.69
2020-09-25 12:29:00,90.00,90.00,90.00,90.00,25,4700,111.62
2020-09-25 12:30:00,95.10,95.10,95.10,95.10,25,4700,111.57
2020-09-25 12:36:00,98.00,98.00,98.00,98.00,50,4675,111.48
2020-09-25 12:39:00,91.00,91.00,91.00,91.00,100,4700,111.22
2020-09-25 12:46:00,90.00,90.00,90.00,90.00,25,4800,111.15
2020-09-25 12:47:00,88.00,88.00,88.00,88.00,50,4800,111.01
2020-09-25 12:51:00,90.00,90.00,90.00,90.00,100,4875,110.75
2020-09-25 12:53:00,94.75,94.75,94.75,94.75,25,4875,110.70
2020-09-25 13:00:00,88.00,88.00,88.00,88.00,25,4975,110.63
2020-09-25 13:02:00,88.30,88.30,88.30,88.30,25,4975,110.56
2020-09-25 13:11:00,91.95,91.95,91.95,91.95,25,5025,110.50
2020-09-25 13:13:00,92.00,99.90,92.00,99.90,50,5025,110.41
2020-09-25 13:14:00,94.35,94.35,94.35,94.35,25,5025,110.36
2020-09-25 13:22:00,91.20,91.20,91.20,91.20,25,5050,110.31
2020-09-25 13:32:00,94.05,94.05,94.05,94.05,400,5025,109.55
2020-09-25 13:34:00,97.50,97.50,96.35,96.35,600,5025,108.76
2020-09-25 13:36:00,97.65,97.65,95.60,95.60,125,5050,108.60
2020-09-25 13:45:00,100.00,100.00,100.00,100.00,25,5025,108.58
2020-09-25 13:46:00,95.40,95.40,95.40,95.40,25,5025,108.54
2020-09-25 13:47:00,95.00,95.00,95.00,95.00,25,5025,108.50
2020-09-25 13:48:00,90.00,90.00,90.00,90.00,375,5025,107.80
2020-09-25 13:50:00,93.95,93.95,93.95,93.95,50,5025,107.73
2020-09-25 13:55:00,95.95,95.95,95.95,95.95,50,5425,107.67
2020-09-25 14:00:00,97.55,97.55,97.55,97.55,25,5475,107.64
2020-09-25 14:04:00,90.70,90.70,88.95,88.95,1225,5475,105.63
2020-09-25 14:05:00,88.05,88.05,88.05,88.05,25,5475,105.59
2020-09-25 14:10:00,88.00,88.00,85.00,85.00,175,5725,105.29
2020-09-25 14:11:00,85.00,85.00,83.00,83.00,50,5725,105.19
2020-09-25 14:15:00,81.00,81.00,81.00,81.00,25,5650,105.14
2020-09-25 14:16:00,76.85,76.85,76.85,76.85,200,5650,104.66
2020-09-25 14:17:00,82.05,82.05,82.05,82.05,25,5650,104.61
2020-09-25 14:22:00,81.95,81.95,81.95,81.95,75,5825,104.47
2020-09-25 14:25:00,81.00,81.00,81.00,81.00,25,5800,104.42
2020-09-25 14:26:00,77.00,77.45,77.00,77.05,275,5800,103.80
2020-09-25 14:27:00,81.90,81.90,75.40,81.90,50,6075,103.69
2020-09-25 14:28:00,75.15,75.15,75.15,75.15,25,6075,103.63
2020-09-25 14:29:00,75.20,75.20,75.20,75.20,25,6075,103.57
2020-09-25 14:31:00,75.20,75.20,75.00,75.00,50,6100,103.46
2020-09-25 14:32:00,70.60,74.95,70.60,74.95,75,6100,103.27
2020-09-25 14:33:00,74.85,74.90,74.85,74.90,75,6100,103.10
2020-09-25 14:34:00,77.00,77.00,77.00,77.00,25,6175,103.05
2020-09-25 14:35:00,74.25,74.25,74.25,74.25,50,6175,102.93
2020-09-25 14:37:00,73.40,73.40,73.40,73.40,50,6150,102.81
2020-09-25 14:40:00,71.00,71.00,70.40,70.40,250,6175,102.19
2020-09-25 14:41:00,68.20,68.20,66.65,66.65,75,6175,101.98
2020-09-25 14:44:00,68.00,68.00,68.00,68.00,75,6175,101.79
2020-09-25 14:45:00,65.55,65.55,65.55,65.55,25,6150,101.72
2020-09-25 14:51:00,70.25,70.25,70.25,70.25,25,6150,101.65
2020-09-25 14:52:00,71.50,71.50,69.00,69.00,125,6150,101.35
2020-09-25 14:54:00,66.70,69.00,66.70,69.00,125,6150,101.03
2020-09-25 14:56:00,66.70,66.70,66.70,66.70,25,6150,100.96
2020-09-25 14:58:00,66.50,66.50,66.50,66.50,50,0,100.83
2020-09-25 15:00:00,69.85,69.85,69.85,69.85,25,6150,100.77
2020-09-25 15:01:00,68.95,69.00,68.95,69.00,100,6125,100.53
2020-09-25 15:02:00,74.95,74.95,74.95,74.95,25,6125,100.49
2020-09-25 15:03:00,67.90,67.90,67.90,67.90,25,6125,100.43
2020-09-25 15:08:00,72.20,72.20,72.20,72.20,25,6125,100.37
2020-09-25 15:09:00,70.00,70.00,70.00,70.00,25,6125,100.32
2020-09-25 15:11:00,66.35,66.35,66.35,66.35,25,6175,100.25
2020-09-25 15:12:00,66.60,66.60,66.60,66.60,25,0,100.19
2020-09-25 15:14:00,68.95,68.95,68.95,68.95,25,6125,100.13
2020-09-25 15:15:00,69.95,70.00,69.00,70.00,150,6150,99.80
2020-09-25 15:16:00,74.85,74.85,74.85,74.85,25,6150,99.76
2020-09-25 15:17:00,73.05,73.05,73.05,73.05,25,6150,99.71
2020-09-25 15:19:00,66.05,66.05,66.05,66.05,150,6275,99.35
2020-09-25 15:20:00,72.70,72.70,72.70,72.70,25,6275,99.30
2020-09-25 15:22:00,70.00,70.00,70.00,70.00,25,6350,99.25
2020-09-25 15:24:00,68.25,68.25,68.25,68.25,25,6350,99.19
2020-09-25 15:25:00,68.85,68.85,68.85,68.85,50,6375,99.09
2020-09-25 15:26:00,68.20,68.20,68.20,68.20,75,6375,98.92
2020-09-25 15:27:00,68.20,68.20,68.20,68.20,350,6375,98.18
