date,open,high,low,close,volume,oi,vwap
2020-05-22 10:03:00,144.05,144.05,144.05,144.05,75,0,144.05
2020-05-22 10:06:00,139.45,139.45,139.45,139.45,75,75,141.75
2020-05-22 10:12:00,154.50,154.50,154.50,154.50,75,150,146.00
2020-05-22 10:27:00,165.00,165.05,165.00,165.00,675,150,160.25
2020-05-22 10:30:00,170.00,170.00,170.00,170.00,600,675,164.15
2020-05-22 10:50:00,196.55,196.55,196.55,196.55,75,225,165.69
2020-05-22 10:51:00,197.00,197.05,197.00,197.00,375,300,171.71
2020-05-22 11:53:00,184.50,184.50,184.50,184.50,150,600,172.63
2020-05-22 12:02:00,187.00,187.00,187.00,187.00,75,750,173.12
2020-05-22 12:05:00,187.00,187.00,187.00,187.00,75,750,173.58
2020-05-22 12:27:00,175.50,175.50,175.50,175.50,150,750,173.70
2020-05-22 12:49:00,194.25,194.25,194.25,194.25,75,900,174.33
2020-05-22 12:51:00,197.00,197.00,197.00,197.00,75,975,174.99
2020-05-22 13:51:00,171.00,171.00,171.00,171.00,75,975,174.88
2020-05-22 13:54:00,180.00,180.00,180.00,180.00,75,1050,175.02
2020-05-22 14:02:00,171.00,171.00,171.00,171.00,75,1050,174.91
2020-05-22 14:15:00,160.00,160.00,160.00,160.00,75,1125,174.52
2020-05-22 14:30:00,170.00,170.00,170.00,170.00,75,1200,174.40
2020-05-22 14:34:00,172.00,172.00,172.00,172.00,75,1125,174.34
2020-05-22 15:06:00,167.00,167.00,167.00,167.00,75,1125,174.16
2020-05-22 15:10:00,165.00,165.00,165.00,165.00,75,1200,173.95
2020-05-22 15:18:00,146.00,146.00,146.00,146.00,75,1275,173.30
2020-05-22 15:21:00,147.45,147.45,145.50,145.50,150,1275,172.10
2020-05-22 15:28:00,144.65,144.65,144.65,144.65,75,1425,171.51
2020-05-26 09:16:00,86.35,86.35,86.35,86.35,75,1500,86.35
2020-05-26 09:17:00,90.00,90.00,89.15,90.00,1275,1575,89.66
2020-05-26 09:18:00,88.90,88.90,87.85,87.85,450,1575,89.33
2020-05-26 09:20:00,88.30,91.85,88.30,91.85,375,2775,89.31
2020-05-26 09:22:00,95.00,98.25,95.00,98.25,225,2775,89.95
2020-05-26 09:25:00,94.65,94.65,94.65,94.65,75,2700,90.09
2020-05-26 09:26:00,94.00,95.00,93.60,95.00,225,2400,90.43
2020-05-26 09:27:00,97.00,97.00,97.00,97.00,150,2400,90.78
2020-05-26 09:28:00,97.00,97.00,97.00,97.00,75,2400,90.94
2020-05-26 09:29:00,93.35,93.35,93.35,93.35,75,2400,91.00
2020-05-26 09:30:00,92.45,92.45,91.85,91.85,225,2550,91.08
2020-05-26 09:31:00,90.00,90.00,88.90,88.90,450,2550,90.91
2020-05-26 09:32:00,88.75,88.80,88.75,88.80,150,3000,90.82
2020-05-26 09:33:00,88.85,88.85,88.85,88.85,75,3000,90.79
2020-05-26 09:34:00,89.15,89.25,89.15,89.25,150,3000,90.73
2020-05-26 09:36:00,85.00,85.00,84.05,84.05,300,3000,90.30
2020-05-26 09:37:00,84.00,84.00,84.00,84.00,150,3000,90.09
2020-05-26 09:38:00,84.10,84.10,84.10,84.10,150,3300,89.89
2020-05-26 09:40:00,84.25,84.25,84.25,84.25,150,3300,89.72
2020-05-26 09:41:00,83.90,84.30,83.70,84.30,675,3225,89.01
2020-05-26 09:42:00,84.55,84.55,84.55,84.55,75,3225,88.95
2020-05-26 09:46:00,82.50,82.50,82.50,82.50,75,3225,88.86
2020-05-26 09:47:00,82.00,82.00,80.00,80.00,375,3600,88.38
2020-05-26 09:48:00,78.50,79.15,78.50,79.15,675,3600,87.45
2020-05-26 09:49:00,79.45,80.75,79.45,80.75,300,3600,87.13
2020-05-26 09:51:00,82.70,84.00,82.70,83.80,675,3375,86.82
2020-05-26 09:52:00,83.35,84.55,83.35,83.95,450,3375,86.65
2020-05-26 09:53:00,83.80,83.80,81.65,81.65,375,3600,86.48
2020-05-26 09:54:00,83.05,83.05,82.25,82.40,675,3600,86.21
2020-05-26 09:55:00,81.65,81.65,79.65,79.65,300,3600,86.01
2020-05-26 09:56:00,79.90,79.90,79.90,79.90,150,3600,85.92
2020-05-26 09:57:00,80.50,80.50,80.50,80.50,75,3825,85.88
