0,1,2,3,4,5,6,7,8,9
27.11.20 15:04:59,2.40,2.40,2.40,2.40,2000,0,2.40,2.05,2.95
27.11.20 15:10:59,2.05,2.05,2.05,2.05,1000,2000,2.28,1.70,2.05
27.11.20 15:19:59,2.05,2.05,2.05,2.05,625,3000,2.24,1.75,2.05
01.12.20 09:18:59,3.35,3.35,2.80,2.90,325,3625,2.92,1.65,2.80
01.12.20 09:22:59,2.30,2.30,2.30,2.30,25,3950,2.88,2.05,2.65
01.12.20 09:43:59,2.35,2.35,2.35,2.35,25,3925,2.84,2.00,2.25
01.12.20 09:58:59,2.20,2.20,2.20,2.20,25,3925,2.80,2.00,2.65
01.12.20 10:05:59,2.00,2.00,2.00,2.00,75,3925,2.69,1.55,2.60
01.12.20 10:41:59,2.25,2.80,2.25,2.80,1975,3900,2.47,1.65,3.50
01.12.20 10:43:59,2.75,2.80,2.75,2.80,800,3900,2.55,2.35,2.80
01.12.20 10:44:59,2.70,2.75,2.70,2.75,775,3900,2.59,2.15,2.90
01.12.20 10:49:59,2.60,2.60,2.60,2.60,25,6500,2.59,2.10,2.60
01.12.20 10:50:59,2.60,2.65,2.60,2.65,225,6525,2.59,2.10,2.85
01.12.20 10:52:59,2.85,2.85,2.85,2.85,25,6525,2.60,2.25,2.90
01.12.20 10:56:59,2.65,2.65,2.65,2.65,25,6575,2.60,2.15,2.70
01.12.20 10:57:59,2.70,2.70,2.70,2.70,25,6575,2.60,2.25,2.70
01.12.20 10:58:59,2.70,2.85,2.70,2.85,125,6575,2.60,2.15,2.80
01.12.20 10:59:59,2.85,2.85,2.85,2.85,75,6725,2.61,2.40,2.90
01.12.20 11:04:59,2.85,2.85,2.85,2.85,25,6800,2.61,2.30,2.90
01.12.20 11:08:59,2.35,2.75,2.35,2.75,150,6825,2.60,2.20,2.80
01.12.20 11:09:59,2.65,2.65,2.65,2.65,100,6825,2.60,2.20,2.60
01.12.20 11:14:59,2.55,2.55,2.50,2.50,325,6725,2.60,2.20,2.85
01.12.20 11:22:59,2.20,2.20,2.15,2.15,125,6500,2.59,2.10,2.80
01.12.20 11:23:59,2.10,2.10,2.05,2.05,675,6300,2.53,1.65,2.75
01.12.20 11:30:59,1.75,1.75,1.75,1.75,25,5700,2.52,1.70,2.40
01.12.20 11:32:59,1.75,1.75,1.75,1.75,225,5675,2.49,1.70,2.25
01.12.20 11:33:59,1.70,1.70,1.70,1.70,350,5675,2.45,1.70,2.25
01.12.20 11:34:59,1.80,1.80,1.75,1.75,75,5675,2.44,1.65,2.25
01.12.20 11:35:59,1.75,1.75,1.65,1.65,250,5675,2.42,1.60,2.25
01.12.20 11:46:59,1.65,1.65,1.65,1.65,100,4800,2.40,1.60,2.25
01.12.20 11:47:59,1.60,1.60,1.60,1.60,1000,4700,2.30,1.50,2.25
01.12.20 12:09:59,1.70,1.70,1.60,1.60,150,4700,2.29,1.55,1.85
01.12.20 12:29:59,1.60,1.60,1.60,1.60,25,4675,2.29,1.55,1.60
01.12.20 12:30:59,1.60,1.60,1.60,1.60,275,4675,2.27,1.60,1.80
01.12.20 12:45:59,1.75,1.75,1.75,1.75,25,4675,2.26,1.60,1.80
01.12.20 12:53:59,1.65,1.65,1.65,1.65,25,4675,2.26,1.60,1.80
01.12.20 13:07:59,1.55,1.55,1.55,1.55,225,4675,2.24,1.55,1.75
01.12.20 13:08:59,1.55,1.55,1.55,1.55,100,4675,2.24,1.50,1.70
01.12.20 14:09:59,1.70,1.70,1.70,1.70,50,4675,2.23,1.30,1.85
01.12.20 14:58:59,1.85,1.85,1.70,1.70,525,4675,2.21,1.40,1.95
01.12.20 15:06:59,1.95,1.95,1.95,1.95,125,4675,2.21,1.65,2.00
01.12.20 15:08:59,2.00,2.30,2.00,2.30,1225,4675,2.20,1.50,2.15
01.12.20 15:19:59,1.75,1.75,1.75,1.75,50,4825,2.20,1.50,2.05
01.12.20 15:28:59,1.50,1.50,1.50,1.50,25,4825,2.20,1.45,1.95
02.12.20 10:52:59,0.60,0.60,0.60,0.60,25,4825,0.60,0.35,0.95
02.12.20 11:27:59,0.40,0.40,0.40,0.40,200,4825,0.51,0.35,0.40
02.12.20 11:40:59,2.00,2.00,2.00,2.00,1250,4725,1.40,0.55,1.90
02.12.20 11:43:59,0.80,0.80,0.80,0.80,25,5950,1.39,0.55,1.40
02.12.20 11:53:59,0.80,0.85,0.80,0.80,1200,5975,1.13,0.85,1.25
02.12.20 11:54:59,0.80,0.85,0.80,0.80,3875,5975,0.94,0.60,0.80
02.12.20 11:55:59,0.80,0.85,0.80,0.80,4925,5975,0.88,0.60,1.00
02.12.20 11:56:59,0.80,0.80,0.80,0.80,4225,7625,0.86,0.60,1.10
02.12.20 11:57:59,0.80,0.80,0.80,0.80,5775,7625,0.84,0.60,1.10
02.12.20 11:58:59,0.80,0.80,0.80,0.80,3350,7625,0.83,0.60,1.10
02.12.20 11:59:59,0.80,0.80,0.80,0.80,650,7625,0.83,0.60,1.10
02.12.20 12:01:59,1.10,1.10,1.10,1.10,25,6000,0.83,0.60,1.35
02.12.20 12:10:59,0.80,0.80,0.80,0.80,1450,6000,0.83,0.80,1.10
02.12.20 12:11:59,0.80,0.80,0.80,0.80,2825,6000,0.83,0.55,0.80
02.12.20 12:12:59,0.80,0.80,0.80,0.80,1725,6000,0.83,0.60,1.10
02.12.20 12:13:59,0.80,0.80,0.80,0.80,3425,6000,0.82,0.80,1.10
02.12.20 12:14:59,0.80,0.80,0.80,0.80,575,6000,0.82,0.60,1.10
02.12.20 12:15:59,0.80,0.80,0.80,0.80,4000,7875,0.82,0.60,1.10
02.12.20 12:16:59,0.80,0.80,0.80,0.80,675,7875,0.82,0.60,1.10
02.12.20 12:17:59,0.80,0.80,0.80,0.80,1125,7875,0.82,0.80,1.10
02.12.20 12:18:59,0.80,0.80,0.80,0.80,100,6000,0.82,0.55,1.10
02.12.20 12:26:59,0.80,0.80,0.80,0.80,100,6000,0.82,0.80,1.10
02.12.20 12:27:59,0.80,0.80,0.80,0.80,100,5975,0.82,0.80,1.10
02.12.20 12:28:59,0.80,0.80,0.80,0.80,25,5975,0.82,0.60,1.10
02.12.20 12:57:59,0.95,0.95,0.95,0.95,500,5975,0.82,0.50,1.20
02.12.20 12:59:59,1.00,1.00,1.00,1.00,400,5975,0.82,0.50,1.05
02.12.20 14:08:59,0.70,0.70,0.70,0.70,25,6875,0.82,0.55,1.00
02.12.20 14:10:59,0.75,0.75,0.75,0.75,25,6875,0.82,0.55,0.90
02.12.20 14:13:59,1.05,1.10,0.95,1.05,1975,6900,0.83,0.55,1.20
02.12.20 14:14:59,1.05,1.05,1.05,1.05,500,6900,0.83,0.55,1.20
