0,1,2,3,4,5,6,7,8,9,10
27.03.20 09:15:59,9027.80,9027.80,9016.45,9016.55,300,0,11576775.00,,,
27.03.20 09:16:59,9005.00,9020.00,9005.00,9020.00,150,0,11576775.00,,,
27.03.20 09:19:59,9000.00,9000.00,9000.00,9000.00,75,450,11697300.00,,,
27.03.20 09:20:59,9000.00,9000.00,8987.00,8987.00,375,450,11743125.00,,,
27.03.20 09:21:59,8950.00,8950.55,8950.00,8950.00,600,450,11743125.00,,,
27.03.20 09:23:59,8955.00,8955.00,8950.00,8950.00,225,450,11807475.00,,,
27.03.20 09:25:59,8999.95,8999.95,8995.00,8998.50,225,1125,11808150.00,,,
27.03.20 09:26:59,8998.50,8998.50,8985.00,8985.00,300,1200,11873175.00,,,
27.03.20 09:27:59,8993.30,8995.00,8993.30,8995.00,450,1200,11873175.00,,,
27.03.20 09:29:59,9024.20,9024.20,9024.20,9024.20,75,1575,11924175.00,,,
27.03.20 09:30:59,9015.00,9062.90,9015.00,9062.90,300,1575,11924175.00,,,
27.03.20 09:31:59,9049.00,9085.95,9049.00,9085.20,1200,1575,11924175.00,,,
27.03.20 09:32:59,9085.20,9085.20,9069.85,9069.85,375,2625,12050775.00,,,
27.03.20 09:34:59,9059.95,9059.95,9059.95,9059.95,75,2625,12050775.00,,,
27.03.20 09:36:59,9059.95,9059.95,9050.00,9050.00,150,2850,12106575.00,,,
27.03.20 09:38:59,9050.00,9059.60,9050.00,9059.60,150,3000,12121575.00,,,
27.03.20 09:39:59,9064.95,9075.00,9064.95,9075.00,300,3000,12121575.00,,,
27.03.20 09:40:59,9085.40,9085.40,9085.40,9085.40,75,3000,12121575.00,,,
27.03.20 09:41:59,9068.00,9068.00,9048.60,9048.60,225,3075,12163275.00,,,
27.03.20 09:44:59,9040.45,9040.45,9025.80,9025.80,225,3075,12161925.00,,,
27.03.20 09:45:59,9033.40,9033.40,9033.40,9033.40,75,3075,12161925.00,,,
27.03.20 09:46:59,9033.40,9033.40,9033.40,9033.40,150,3075,12161925.00,,,
27.03.20 09:47:59,9033.00,9033.00,9033.00,9033.00,75,3300,12159675.00,,,
27.03.20 09:48:59,9040.00,9040.00,9040.00,9040.00,75,3300,12159675.00,,,
27.03.20 09:49:59,9050.00,9050.00,9037.00,9037.00,150,3300,12159675.00,,,
27.03.20 09:50:59,9037.00,9037.00,9037.00,9037.00,75,3600,12184275.00,,,
27.03.20 09:51:59,9041.35,9041.35,9041.35,9041.35,75,3600,12184275.00,,,
27.03.20 09:53:59,9025.00,9025.00,9025.00,9025.00,75,3750,12191850.00,,,
27.03.20 09:54:59,9025.00,9025.00,9025.00,9025.00,675,3750,12191850.00,,,
27.03.20 09:55:59,9025.00,9042.40,9025.00,9042.40,150,3750,12191850.00,,,
27.03.20 09:56:59,9027.15,9027.15,9020.25,9020.25,150,4050,12195375.00,,,
27.03.20 09:57:59,9011.55,9011.55,9011.55,9011.55,75,4050,12195375.00,,,
27.03.20 09:58:59,8999.00,9011.05,8999.00,9011.05,450,4050,12195375.00,,,
27.03.20 10:00:59,8997.40,8997.40,8997.40,8997.40,75,4275,12152400.00,,,
27.03.20 10:01:59,9004.25,9004.25,9004.25,9004.25,75,4275,12152400.00,,,
27.03.20 10:02:59,9000.00,9000.00,9000.00,9000.00,75,4350,12181800.00,,,
27.03.20 10:04:59,8993.70,8993.70,8993.70,8993.70,75,4350,12181800.00,,,
27.03.20 10:05:59,8993.70,8993.70,8993.70,8993.70,75,4500,12179025.00,,,
27.03.20 10:06:59,8970.00,8970.00,8970.00,8970.00,75,4500,12179025.00,,,
27.03.20 10:07:59,8947.00,8969.30,8940.00,8969.30,300,4500,12179025.00,,,
27.03.20 10:08:59,9000.00,9059.75,9000.00,9059.75,825,5025,12175275.00,,,
27.03.20 10:09:59,9080.95,9090.00,9037.45,9055.25,825,5025,12175275.00,,,
27.03.20 10:10:59,9064.40,9064.40,9064.40,9064.40,75,5025,12175275.00,,,
27.03.20 10:11:59,9000.00,9000.00,8999.85,8999.85,225,5025,12160425.00,,,
27.03.20 10:12:59,8994.75,8994.75,8969.05,8969.05,525,5850,12161250.00,,,
27.03.20 10:13:59,8950.00,8950.00,8900.00,8900.00,600,5850,12161250.00,,,
27.03.20 10:14:59,8906.70,8906.70,8872.10,8872.10,675,6300,12147600.00,,,
27.03.20 10:15:59,8899.70,8921.55,8899.70,8900.10,675,6300,12147600.00,,,
27.03.20 10:16:59,8920.00,8920.00,8920.00,8920.00,75,6300,12147600.00,,,
27.03.20 10:18:59,8879.55,8879.55,8842.00,8842.55,375,6675,12147675.00,,,
27.03.20 10:19:59,8859.75,8899.85,8859.75,8899.40,375,6675,12147675.00,,,
27.03.20 10:20:59,8900.00,8900.00,8900.00,8900.00,150,6675,12139500.00,,,
27.03.20 10:21:59,8900.00,8900.00,8900.00,8900.00,150,7200,12140025.00,,,
27.03.20 10:24:59,8975.00,8975.00,8975.00,8975.00,75,7125,12263775.00,,,
27.03.20 10:25:59,8963.05,8963.05,8961.70,8961.70,150,7125,12263775.00,,,
27.03.20 10:26:59,8950.00,8950.00,8950.00,8950.00,75,7050,12262200.00,,,
27.03.20 10:28:59,8948.65,8948.65,8948.65,8948.65,75,7050,12262200.00,,,
27.03.20 10:30:59,8914.15,8914.15,8914.15,8914.15,150,7125,12291150.00,,,
27.03.20 10:31:59,8915.00,8915.00,8915.00,8915.00,675,7125,12291150.00,,,
27.03.20 10:32:59,8885.80,8885.80,8855.00,8872.40,450,7650,12298575.00,,,
27.03.20 10:33:59,8863.60,8863.60,8863.00,8863.00,975,7650,12298575.00,,,
27.03.20 10:34:59,8863.00,8863.00,8850.00,8850.00,150,7650,12298575.00,,,
27.03.20 10:35:59,8842.90,8900.00,8842.90,8900.00,1125,8550,12297600.00,,,
27.03.20 10:36:59,8869.00,8882.35,8869.00,8882.35,150,8550,12297600.00,,,
27.03.20 10:39:59,8882.00,8882.00,8882.00,8882.00,75,8550,12302100.00,,,
27.03.20 10:41:59,8870.00,8870.00,8870.00,8870.00,75,8550,12323325.00,,,
27.03.20 10:42:59,8860.50,8860.50,8825.00,8825.00,450,8550,12323325.00,,,
27.03.20 10:43:59,8865.70,8865.70,8827.60,8827.60,225,8550,12323325.00,,,
27.03.20 10:44:59,8842.10,8842.10,8833.20,8840.00,300,8700,12319800.00,,,
27.03.20 10:48:59,8850.00,8850.00,8850.00,8850.00,150,8700,12309225.00,,,
27.03.20 10:49:59,8834.25,8848.25,8834.25,8848.25,750,8700,12309225.00,,,
27.03.20 10:50:59,8835.00,8835.00,8835.00,8835.00,75,8700,12322800.00,,,
27.03.20 10:52:59,8823.00,8823.00,8823.00,8823.00,75,8475,12322575.00,,,
