date,open,high,low,close,volume,oi,vwap
2020-08-17 09:15:00,1.00,1.00,1.00,1.00,750,1500,1.00
2020-08-17 09:17:00,1.00,1.00,1.00,1.00,600,1500,1.00
2020-08-17 09:23:00,0.80,0.80,0.80,0.80,600,2850,0.93
2020-08-18 11:06:00,0.80,0.80,0.30,0.30,150,2250,0.55
2020-08-18 12:14:00,0.75,0.75,0.75,0.75,75,2175,0.61
2020-08-18 12:15:00,0.30,0.30,0.30,0.30,75,2175,0.53
2020-08-18 13:16:00,0.30,0.30,0.30,0.30,750,2175,0.36
2020-08-18 14:19:00,0.45,0.45,0.45,0.45,75,1575,0.37
2020-08-18 14:44:00,0.30,0.30,0.30,0.30,75,1575,0.36
2020-08-19 09:24:00,0.45,0.45,0.45,0.45,75,1575,0.45
2020-08-19 09:29:00,0.10,0.10,0.10,0.10,75,1575,0.27
2020-08-19 09:46:00,0.40,0.40,0.40,0.40,75,1575,0.31
2020-08-19 12:58:00,0.30,0.30,0.30,0.30,300,1575,0.30
2020-08-19 13:31:00,0.30,0.30,0.30,0.30,150,1575,0.30
2020-08-19 13:51:00,0.25,0.25,0.25,0.25,75,1575,0.29
2020-08-19 14:48:00,0.30,0.30,0.30,0.30,75,1650,0.29
2020-08-19 15:09:00,0.15,0.30,0.15,0.30,975,1575,0.29
2020-08-20 12:48:00,0.10,0.10,0.10,0.10,150,1500,0.10
