date,open,high,low,close,volume,oi
2020-04-17 09:29:00,283.95,283.95,283.95,283.95,75,0
2020-04-17 09:30:00,275.95,276.95,275.95,276.95,150,0
2020-04-17 09:31:00,279.95,279.95,279.95,279.95,150,0
2020-04-17 09:32:00,277.95,280.00,277.95,280.00,525,450
2020-04-17 09:33:00,279.40,279.40,279.40,279.40,75,450
2020-04-17 09:43:00,286.55,286.55,281.55,281.55,150,975
2020-04-17 10:00:00,300.05,300.05,300.05,300.05,75,975
2020-04-17 10:03:00,294.55,294.55,294.55,294.55,75,975
2020-04-17 10:18:00,326.60,326.60,324.00,324.00,300,975
2020-04-17 10:33:00,373.50,375.60,373.50,375.60,525,675
2020-04-17 10:38:00,375.00,375.00,375.00,375.00,300,1200
2020-04-17 10:46:00,376.10,376.10,376.10,376.10,75,675
2020-04-17 10:48:00,376.85,376.85,376.85,376.85,75,600
2020-04-17 10:52:00,402.35,402.35,402.35,402.35,75,600
2020-04-17 14:47:00,295.00,295.00,295.00,295.00,75,600
2020-04-17 14:48:00,300.50,303.00,300.50,303.00,150,750
2020-04-17 15:06:00,285.35,285.35,284.50,285.00,750,675
2020-04-17 15:09:00,285.05,285.05,285.05,285.05,150,1425
2020-04-17 15:13:00,268.05,268.05,268.05,268.05,75,1425
2020-04-17 15:17:00,264.95,264.95,264.95,264.95,225,1425
2020-04-17 15:20:00,255.00,255.00,255.00,255.00,75,1575
2020-04-17 15:23:00,254.40,254.40,254.40,254.40,75,1650
2020-04-17 15:24:00,257.00,257.00,257.00,257.00,75,1725
2020-04-17 15:25:00,258.75,258.75,258.75,258.75,150,1725
2020-04-17 15:28:00,258.75,258.75,258.75,258.75,75,1650
2020-04-20 09:15:00,240.25,278.05,214.25,252.80,4050,1725
2020-04-20 09:16:00,259.85,265.60,242.95,265.60,5550,1725
2020-04-20 09:17:00,272.10,272.10,262.50,262.50,525,6825
2020-04-20 09:19:00,259.80,274.90,259.80,274.90,1950,6825
2020-04-20 09:20:00,264.00,277.65,264.00,277.65,300,6450
2020-04-20 09:22:00,278.20,279.15,271.65,271.65,300,6450
2020-04-20 09:25:00,242.00,242.00,242.00,242.00,75,6525
2020-04-20 09:26:00,243.00,243.00,243.00,243.00,75,6450
2020-04-20 09:27:00,241.15,241.15,241.15,241.15,75,6450
2020-04-20 09:28:00,241.35,241.35,241.35,241.35,75,6450
2020-04-20 09:30:00,243.90,243.90,236.60,236.60,225,6525
2020-04-20 09:31:00,250.45,250.65,247.55,247.70,675,6525
2020-04-20 09:32:00,258.40,264.00,258.40,264.00,375,6450
2020-04-20 09:33:00,259.90,259.90,259.90,259.90,75,6450
2020-04-20 09:34:00,259.90,259.90,259.90,259.90,75,0
2020-04-20 09:36:00,265.30,270.00,263.80,270.00,225,6825
2020-04-20 09:37:00,272.90,272.90,268.25,268.25,450,6825
2020-04-20 09:38:00,280.00,280.00,280.00,280.00,150,6975
2020-04-20 09:40:00,297.30,297.30,280.00,280.00,375,6975
2020-04-20 09:41:00,280.00,280.00,280.00,280.00,75,6825
2020-04-20 09:42:00,286.00,286.00,286.00,286.00,75,6825
2020-04-20 09:46:00,286.00,286.00,286.00,286.00,75,0
2020-04-20 09:48:00,286.00,286.00,286.00,286.00,75,6900
2020-04-20 09:49:00,275.00,275.00,275.00,275.00,75,6900
2020-04-20 09:51:00,275.00,275.00,275.00,275.00,75,6900
2020-04-20 09:52:00,271.30,271.85,271.30,271.85,150,6900
2020-04-20 09:54:00,272.00,272.00,272.00,272.00,75,7050
2020-04-20 09:55:00,279.90,279.90,279.90,279.90,75,7050
2020-04-20 09:58:00,279.90,279.90,279.90,279.90,75,7050
2020-04-20 09:59:00,284.00,284.00,284.00,284.00,75,7050
2020-04-20 10:00:00,283.00,283.00,283.00,283.00,75,7050
2020-04-20 10:03:00,261.70,261.70,260.65,260.65,150,6900
2020-04-20 10:08:00,272.00,272.00,272.00,272.00,75,0
2020-04-20 10:10:00,274.20,274.20,274.20,274.20,150,6900
2020-04-20 10:12:00,277.00,278.00,277.00,278.00,150,7050
2020-04-20 10:13:00,280.00,280.00,280.00,280.00,150,7050
2020-04-20 10:28:00,255.15,255.15,254.85,254.85,150,6825
2020-04-20 10:29:00,253.20,253.20,246.00,246.00,375,6375
2020-04-20 10:35:00,247.05,247.05,247.05,247.05,675,6375
2020-04-20 10:37:00,244.60,248.75,244.60,248.75,150,6375
2020-04-20 10:43:00,243.65,243.65,243.65,243.65,150,6375
2020-04-20 10:50:00,244.50,244.50,244.50,244.50,75,6300
2020-04-20 11:00:00,235.00,235.00,235.00,235.00,75,5925
2020-04-20 11:02:00,238.00,238.00,238.00,238.00,75,5925
2020-04-20 11:10:00,250.35,250.35,250.35,250.35,75,6000
2020-04-20 11:15:00,256.30,264.50,256.30,264.25,225,6075
2020-04-20 11:17:00,262.00,262.75,262.00,262.75,150,6075
2020-04-20 11:18:00,269.30,269.30,266.20,266.20,300,6075
2020-04-20 11:19:00,266.00,266.00,266.00,266.00,75,6075
2020-04-20 11:24:00,275.00,275.00,275.00,275.00,75,6150
2020-04-20 11:27:00,274.00,274.00,274.00,274.00,75,6000
2020-04-20 11:33:00,285.00,287.15,285.00,287.15,225,6000
2020-04-20 11:34:00,286.80,296.50,286.80,295.55,225,6000
2020-04-20 11:35:00,300.00,300.00,295.20,295.20,300,6000
2020-04-20 11:41:00,285.60,286.25,285.60,286.25,900,6150
2020-04-20 11:45:00,298.60,298.60,298.60,298.60,525,6150
2020-04-20 11:49:00,290.40,290.40,288.30,288.30,225,6600
2020-04-20 11:52:00,281.05,281.05,281.05,281.05,75,6600
2020-04-20 11:53:00,281.40,281.45,281.40,281.45,225,6600
2020-04-20 11:54:00,278.65,278.65,274.00,274.00,225,6075
2020-04-20 11:55:00,278.00,278.00,278.00,278.00,600,6075
2020-04-20 11:57:00,285.00,285.00,282.00,282.00,750,5775
2020-04-20 12:02:00,287.00,287.00,287.00,287.00,75,5850
2020-04-20 12:03:00,290.00,290.00,290.00,290.00,75,5850
2020-04-20 12:05:00,282.00,282.00,282.00,282.00,75,5850
2020-04-20 12:09:00,274.20,274.20,274.20,274.20,75,5250
2020-04-20 12:15:00,275.25,275.25,275.25,275.25,150,5250
2020-04-20 12:23:00,271.85,271.85,271.85,271.85,75,5250
2020-04-20 12:30:00,262.35,262.35,257.35,257.35,2475,5175
2020-04-20 12:31:00,262.60,262.60,262.60,262.60,75,5175
2020-04-20 12:35:00,287.10,288.40,287.10,288.40,150,6225
2020-04-20 12:38:00,288.75,288.75,288.75,288.75,75,6300
2020-04-20 12:39:00,286.40,286.40,286.40,286.40,75,6300
2020-04-20 12:45:00,301.55,301.65,301.55,301.55,150,6300
2020-04-20 12:46:00,301.00,301.00,301.00,301.00,75,6300
2020-04-20 12:47:00,295.80,295.80,295.80,295.80,225,6300
2020-04-20 12:49:00,298.00,298.00,298.00,298.00,75,6525
2020-04-20 12:50:00,300.15,300.15,300.15,300.15,75,6525
2020-04-20 12:54:00,286.55,286.55,286.55,286.55,600,6525
2020-04-20 12:56:00,286.05,286.05,286.05,286.05,600,6525
2020-04-20 12:57:00,289.30,289.30,289.30,289.30,75,5850
2020-04-20 12:59:00,290.00,290.00,290.00,290.00,600,5850
2020-04-20 13:00:00,291.00,291.00,291.00,291.00,75,5475
2020-04-20 13:01:00,279.30,279.30,279.30,279.30,300,5475
2020-04-20 13:03:00,270.25,270.25,270.25,270.25,75,5400
2020-04-20 13:05:00,279.50,279.50,279.50,279.50,600,5400
2020-04-20 13:06:00,282.50,282.50,282.50,282.50,300,4875
2020-04-20 13:07:00,275.90,275.90,275.90,275.90,225,4875
2020-04-20 13:12:00,275.00,275.00,275.00,275.00,75,4275
2020-04-20 13:23:00,251.70,252.85,251.70,252.85,375,4350
2020-04-20 13:27:00,258.45,258.45,258.45,258.45,75,4425
2020-04-20 13:28:00,258.70,258.70,258.70,258.70,75,4425
2020-04-20 13:29:00,260.00,260.00,260.00,260.00,75,4425
2020-04-20 13:30:00,253.50,253.50,252.45,252.45,150,4425
2020-04-20 13:35:00,266.00,266.00,266.00,266.00,75,4500
2020-04-20 13:36:00,270.40,272.60,270.40,272.55,225,4500
2020-04-20 13:37:00,272.45,272.45,272.45,272.45,75,4500
2020-04-20 13:44:00,267.55,271.65,267.55,267.55,975,4425
2020-04-20 13:45:00,268.65,268.65,268.65,268.65,75,4350
2020-04-20 13:50:00,259.00,259.00,259.00,259.00,75,4425
2020-04-20 13:51:00,259.00,263.00,259.00,263.00,150,4500
2020-04-20 13:54:00,276.25,276.25,276.25,276.25,75,4425
2020-04-20 13:55:00,276.00,279.65,276.00,278.30,525,4425
2020-04-20 13:56:00,287.90,287.90,287.90,287.90,150,4425
2020-04-20 13:57:00,280.25,280.25,280.25,280.25,75,4125
2020-04-20 14:09:00,263.90,270.75,263.90,270.75,225,4125
2020-04-20 14:12:00,257.95,257.95,257.95,257.95,75,4050
2020-04-20 14:13:00,261.00,261.00,261.00,261.00,300,4050
2020-04-20 14:15:00,262.00,262.00,262.00,262.00,75,4050
2020-04-20 14:17:00,259.00,259.00,259.00,259.00,75,4050
2020-04-20 14:21:00,247.00,247.00,243.70,243.70,225,3975
2020-04-20 14:22:00,245.00,245.00,245.00,245.00,75,3975
2020-04-20 14:24:00,254.00,254.10,253.75,254.10,225,4050
2020-04-20 14:27:00,243.00,243.00,243.00,243.00,75,3975
2020-04-20 14:28:00,239.60,243.85,239.55,243.85,300,3975
2020-04-20 14:30:00,233.00,233.00,230.35,230.35,225,4350
2020-04-20 14:31:00,230.35,238.75,230.35,238.75,300,4350
2020-04-20 14:32:00,244.00,245.75,244.00,245.75,225,4350
2020-04-20 14:33:00,237.05,237.05,237.05,237.05,75,4050
2020-04-20 14:35:00,238.00,238.65,238.00,238.65,150,4050
2020-04-20 14:36:00,245.00,247.00,245.00,247.00,150,4125
2020-04-20 14:43:00,253.00,253.00,252.10,252.10,225,4050
2020-04-20 14:45:00,252.65,252.65,252.65,252.65,75,3975
2020-04-20 14:46:00,254.00,254.00,252.40,252.40,150,3975
2020-04-20 14:47:00,255.00,258.05,255.00,258.05,150,3975
2020-04-20 14:50:00,274.95,280.60,274.95,279.85,900,3975
2020-04-20 14:51:00,279.95,279.95,276.70,276.70,300,4050
2020-04-20 14:53:00,281.10,281.10,281.10,281.10,150,4050
